series,n_obs,max_abs_error,mean_abs_error,rmse
gold_futures,3100,1.7763568394002505e-15,1.180223313792456e-16,1.9433380822534562e-16
silver_futures,3100,1.4210854715202004e-14,1.6613352298918084e-16,4.110526175079884e-16
platinum_futures,3100,3.552713678800501e-15,1.6564888461807981e-16,2.963696360962455e-16
palladium_futures,3100,5.329070518200751e-15,1.9826735179715163e-16,3.816342186264586e-16
gold_spot,3100,3.552713678800501e-15,1.1318612517895133e-16,1.9699101840033423e-16
silver_spot,3100,7.105427357601002e-15,1.6449767284942772e-16,3.471709748390246e-16
platinum_spot,3100,3.552713678800501e-15,1.5395684838999614e-16,2.645774463219732e-16
palladium_spot,3100,3.552713678800501e-15,1.8780305211948509e-16,3.3722666930612294e-16
