series,mode,mode_order,mean_period,spearman_corr,spearman_pvalue,spearman_significance,variance_contribution,run_length_number,rln_ratio,log_mean_period,log_rln_ratio,scaled_log_mean_period,scaled_log_rln_ratio,hierarchical_cluster,hierarchical_cluster_mean_period,hierarchical_cluster_mean_rln_ratio,scale
gold_futures,IMF1,1,2.716914986853637,0.7383325015820368,0.0,***,0.5804438809360845,2181.0,0.7035483870967741,0.999497040611162,-0.3516186242716086,-1.5006342378171964,1.5611044845297655,2.0,4.101820325285225,0.5261290322580645,STC
gold_futures,IMF2,2,5.486725663716814,0.42542701164705654,1.6345990355165842e-136,***,0.20850480832273077,1081.0,0.3487096774193548,1.7023316593267965,-1.0535155728340293,-1.176100472933483,1.2196086635453354,2.0,4.101820325285225,0.5261290322580645,STC
gold_futures,IMF3,3,11.03202846975089,0.27302418880412516,4.025686337704631e-54,***,0.10913102602530764,519.0,0.16741935483870968,2.400802721139492,-1.787253507307349,-0.8535815797027672,0.8626211615572104,3.0,40.61614203807264,0.07943548387096774,MTC
gold_futures,IMF4,4,21.52777777777778,0.21948055155592996,3.976727994904849e-35,***,0.05747329513587232,266.0,0.08580645161290322,3.069344090897237,-2.4556610816915385,-0.5448827166551873,0.5374190163789986,3.0,40.61614203807264,0.07943548387096774,MTC
gold_futures,IMF5,5,41.333333333333336,0.16075456601694466,2.1477966157347648e-19,***,0.023842026308645223,134.0,0.043225806451612905,3.721669276936927,-3.141317590522326,-0.24367167366360232,0.2038247004668749,3.0,40.61614203807264,0.07943548387096774,MTC
gold_futures,IMF6,6,88.57142857142857,0.09025284912473087,4.820727804909163e-07,***,0.013119762658299042,66.0,0.02129032258064516,4.483809328983824,-3.849502648446812,0.1082463649091703,-0.14073049137453966,3.0,40.61614203807264,0.07943548387096774,MTC
gold_futures,IMF7,7,206.66666666666666,0.06635459761629042,0.0002181172693191882,***,0.004216503918898545,27.0,0.008709677419354838,5.331107189371028,-4.743320524468909,0.49948600690612915,-0.5756021203335882,1.0,1131.1309523809523,0.004112903225806451,LTC
gold_futures,IMF8,8,442.85714285714283,0.03387023615155641,0.05934950197020468,*,0.0009459150473159656,13.0,0.004193548387096774,6.093247241417925,-5.474208033011701,0.8514040454789018,-0.931202796883457,1.0,1131.1309523809523,0.004112903225806451,LTC
gold_futures,IMF9,9,775.0,0.05436378463625574,0.002462873977805155,***,0.0013949739478347205,7.0,0.0022580645161290325,6.652863029353347,-6.093247241417925,1.1098065397654404,-1.2323856174231518,1.0,1131.1309523809523,0.004112903225806451,LTC
gold_futures,IMF10,10,3100.0,0.018742814704109927,0.2968433925041399,,0.0002510385636887116,4.0,0.0012903225806451613,8.039157390473237,-6.652863029353347,1.749927723712596,-1.5046570004634505,1.0,1131.1309523809523,0.004112903225806451,LTC
