date,network_id,network_type,window_size,window_start,window_end,source,target,npdc,NPDC
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_STC,platinum_futures_STC,0.011991118932322312,1.199111893232231
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_STC,palladium_futures_STC,-0.01652233222203775,-1.652233222203775
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_STC,gold_spot_STC,-0.006153227931510602,-0.6153227931510602
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_STC,platinum_spot_STC,0.004493547232278239,0.4493547232278239
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_STC,palladium_spot_STC,-0.01602110609574746,-1.602110609574746
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,gold_futures_STC,-0.015272310646032891,-1.5272310646032892
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,silver_futures_STC,-0.020798213998503068,-2.0798213998503066
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,platinum_futures_STC,-0.07916534282205664,-7.916534282205665
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,palladium_futures_STC,0.04319765701197234,4.319765701197234
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,gold_spot_STC,-0.008192108817095617,-0.8192108817095617
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,silver_spot_STC,-0.004493547232278239,-0.4493547232278239
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,palladium_spot_STC,0.03992098800925234,3.992098800925234
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,gold_futures_STC,-0.021572510540592435,-2.1572510540592433
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,silver_futures_STC,-0.022444752658259307,-2.2444752658259306
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,platinum_futures_STC,-0.045124554518417626,-4.512455451841762
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,palladium_futures_STC,0.010559433770139626,1.0559433770139626
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,gold_spot_STC,0.0034412983790617913,0.3441298379061791
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,silver_spot_STC,0.01602110609574746,1.602110609574746
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,platinum_spot_STC,-0.03992098800925234,-3.992098800925234
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,silver_futures_MTC,-0.010652669527779792,-1.0652669527779792
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,platinum_futures_MTC,0.052026674059518066,5.202667405951806
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,palladium_futures_MTC,0.01882035586993159,1.8820355869931589
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,gold_spot_MTC,-0.022563245829454362,-2.256324582945436
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,silver_spot_MTC,0.022055246256914914,2.2055246256914915
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,platinum_spot_MTC,0.05512072375285723,5.512072375285723
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,palladium_spot_MTC,0.04272597675893516,4.272597675893516
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,gold_futures_MTC,0.010652669527779792,1.0652669527779792
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,platinum_futures_MTC,0.018978966712949744,1.8978966712949745
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,palladium_futures_MTC,0.06822478204794424,6.822478204794424
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,gold_spot_MTC,0.017743921953404337,1.7743921953404338
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,silver_spot_MTC,0.006312250172094965,0.6312250172094965
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,platinum_spot_MTC,0.015084003195912389,1.508400319591239
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,palladium_spot_MTC,0.015220960487832084,1.5220960487832085
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,gold_futures_MTC,-0.052026674059518066,-5.202667405951806
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,silver_futures_MTC,-0.018978966712949744,-1.8978966712949745
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,palladium_futures_MTC,0.006492106862588859,0.6492106862588859
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,gold_spot_MTC,-0.02963528795965084,-2.9635287959650842
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,silver_spot_MTC,-0.052762363590185046,-5.276236359018505
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,platinum_spot_MTC,0.0009759087514361053,0.09759087514361053
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,palladium_spot_MTC,0.007474268982169005,0.7474268982169006
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_MTC,gold_futures_MTC,-0.01882035586993159,-1.8820355869931589
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_MTC,silver_futures_MTC,-0.06822478204794424,-6.822478204794424
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_MTC,platinum_futures_MTC,-0.006492106862588859,-0.6492106862588859
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_MTC,gold_spot_MTC,0.01094348912230357,1.0943489122303571
