date,network_id,network_type,window_size,window_start,window_end,node,from_r2,to_r2,net_r2,FROM,TO,NET
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_STC,0.6229623495541589,0.709418022895108,0.08645567334094917,62.29623495541588,70.9418022895108,8.645567334094917
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_STC,0.691551197658204,0.7920919238706567,0.10054072621245269,69.1551197658204,79.20919238706567,10.054072621245268
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_STC,0.8663505084719454,0.918360811034825,0.05201030256287964,86.63505084719453,91.8360811034825,5.2010302562879644
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_STC,0.8852228026431367,0.7671265838947666,-0.11809621874837006,88.52228026431366,76.71265838947666,-11.809621874837006
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_spot_STC,0.7448702899896624,0.7923710608585616,0.047500770868899145,74.48702899896624,79.23710608585615,4.750077086889915
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_STC,0.788785854763296,0.7642184465027999,-0.024567408260496082,78.8785854763296,76.42184465028,-2.456740826049608
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_STC,0.8770229913823252,0.8322201128875836,-0.04480287849474163,87.70229913823252,83.22201128875835,-4.480287849474163
,same_scale_STC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_STC,0.8840628114417106,0.7850218439601377,-0.09904096748157287,88.40628114417106,78.50218439601377,-9.904096748157286
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_MTC,0.46637982540379097,0.6239128867447137,0.1575330613409227,46.6379825403791,62.39128867447137,15.75330613409227
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_MTC,0.11535878480401415,0.26757633890193167,0.1522175540979175,11.535878480401415,26.757633890193166,15.22175540979175
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_MTC,0.8705176280268796,0.7320566203007698,-0.1384610077261098,87.05176280268796,73.20566203007698,-13.846100772610981
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_MTC,0.8172735988054208,0.758936781833506,-0.05833681697191484,81.72735988054208,75.8936781833506,-5.8336816971914836
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_spot_MTC,0.6022002768574757,0.6621593868812373,0.05995911002376164,60.22002768574757,66.21593868812373,5.995911002376165
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_MTC,0.6652909393220402,0.7147583589741435,0.04946741965210333,66.52909393220402,71.47583589741436,4.946741965210332
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_MTC,0.8774856480556548,0.7225615856026516,-0.15492406245300316,87.74856480556548,72.25615856026516,-15.492406245300316
,same_scale_MTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_MTC,0.8122353400651875,0.7447800821015098,-0.06745525796367768,81.22353400651875,74.47800821015097,-6.745525796367769
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_futures_LTC,0.5916030784085126,0.6947594537897207,0.10315637538120814,59.16030784085125,69.47594537897207,10.315637538120814
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_futures_LTC,0.6821150087633276,0.5906307615784236,-0.091484247184904,68.21150087633276,59.06307615784237,-9.1484247184904
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_futures_LTC,0.8020352843746998,0.6491995609707046,-0.1528357234039952,80.20352843746998,64.91995609707047,-15.28357234039952
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_futures_LTC,0.7030134537652956,0.8382845137983354,0.1352710600330398,70.30134537652955,83.82845137983354,13.52710600330398
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,gold_spot_LTC,0.7723936398809803,0.6702109511557435,-0.10218268872523684,77.23936398809803,67.02109511557435,-10.218268872523684
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,silver_spot_LTC,0.6321676450788777,0.7246531498396298,0.09248550476075212,63.21676450788777,72.46531498396298,9.248550476075213
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,platinum_spot_LTC,0.8232260741559718,0.6021331096341922,-0.22109296452177962,82.32260741559718,60.21331096341922,-22.10929645217796
,same_scale_LTC,same_scale_cross_metal,3100,2012-01-04,2026-03-31,palladium_spot_LTC,0.6564464849648265,0.8931291686257424,0.23668268366091594,65.64464849648265,89.31291686257424,23.668268366091596
,within_gold,within_metal_cross_scale,3100,2012-01-04,2026-03-31,gold_futures_STC,0.670180564299014,0.7789463640025037,0.10876579970348976,67.01805642990139,77.89463640025038,10.876579970348976
,within_gold,within_metal_cross_scale,3100,2012-01-04,2026-03-31,gold_spot_STC,0.7039898772410468,0.6389803384020976,-0.06500953883894922,70.39898772410467,63.898033840209756,-6.500953883894923
,within_gold,within_metal_cross_scale,3100,2012-01-04,2026-03-31,gold_futures_MTC,0.625372530818895,0.4978104016700178,-0.1275621291488772,62.537253081889496,49.78104016700178,-12.75621291488772
