network_id,network_type,network_scale,network_metal,node_order,node_id,display_label,component_column,series,metal,market,scale
same_scale_LTC,same_scale_cross_metal,LTC,,8,palladium_spot_LTC,Palladium Spot,palladium_spot_LTC,palladium_spot,palladium,spot,LTC
within_gold,within_metal_cross_scale,,gold,1,gold_futures_STC,Futures STC,gold_futures_STC,gold_futures,gold,futures,STC
within_gold,within_metal_cross_scale,,gold,2,gold_spot_STC,Spot STC,gold_spot_STC,gold_spot,gold,spot,STC
within_gold,within_metal_cross_scale,,gold,3,gold_futures_MTC,Futures MTC,gold_futures_MTC,gold_futures,gold,futures,MTC
within_gold,within_metal_cross_scale,,gold,4,gold_spot_MTC,Spot MTC,gold_spot_MTC,gold_spot,gold,spot,MTC
within_gold,within_metal_cross_scale,,gold,5,gold_futures_LTC,Futures LTC,gold_futures_LTC,gold_futures,gold,futures,LTC
within_gold,within_metal_cross_scale,,gold,6,gold_spot_LTC,Spot LTC,gold_spot_LTC,gold_spot,gold,spot,LTC
within_silver,within_metal_cross_scale,,silver,1,silver_futures_STC,Futures STC,silver_futures_STC,silver_futures,silver,futures,STC
within_silver,within_metal_cross_scale,,silver,2,silver_spot_STC,Spot STC,silver_spot_STC,silver_spot,silver,spot,STC
within_silver,within_metal_cross_scale,,silver,3,silver_futures_MTC,Futures MTC,silver_futures_MTC,silver_futures,silver,futures,MTC
within_silver,within_metal_cross_scale,,silver,4,silver_spot_MTC,Spot MTC,silver_spot_MTC,silver_spot,silver,spot,MTC
within_silver,within_metal_cross_scale,,silver,5,silver_futures_LTC,Futures LTC,silver_futures_LTC,silver_futures,silver,futures,LTC
within_silver,within_metal_cross_scale,,silver,6,silver_spot_LTC,Spot LTC,silver_spot_LTC,silver_spot,silver,spot,LTC
within_platinum,within_metal_cross_scale,,platinum,1,platinum_futures_STC,Futures STC,platinum_futures_STC,platinum_futures,platinum,futures,STC
within_platinum,within_metal_cross_scale,,platinum,2,platinum_spot_STC,Spot STC,platinum_spot_STC,platinum_spot,platinum,spot,STC
within_platinum,within_metal_cross_scale,,platinum,3,platinum_futures_MTC,Futures MTC,platinum_futures_MTC,platinum_futures,platinum,futures,MTC
within_platinum,within_metal_cross_scale,,platinum,4,platinum_spot_MTC,Spot MTC,platinum_spot_MTC,platinum_spot,platinum,spot,MTC
within_platinum,within_metal_cross_scale,,platinum,5,platinum_futures_LTC,Futures LTC,platinum_futures_LTC,platinum_futures,platinum,futures,LTC
within_platinum,within_metal_cross_scale,,platinum,6,platinum_spot_LTC,Spot LTC,platinum_spot_LTC,platinum_spot,platinum,spot,LTC
within_palladium,within_metal_cross_scale,,palladium,1,palladium_futures_STC,Futures STC,palladium_futures_STC,palladium_futures,palladium,futures,STC
within_palladium,within_metal_cross_scale,,palladium,2,palladium_spot_STC,Spot STC,palladium_spot_STC,palladium_spot,palladium,spot,STC
within_palladium,within_metal_cross_scale,,palladium,3,palladium_futures_MTC,Futures MTC,palladium_futures_MTC,palladium_futures,palladium,futures,MTC
within_palladium,within_metal_cross_scale,,palladium,4,palladium_spot_MTC,Spot MTC,palladium_spot_MTC,palladium_spot,palladium,spot,MTC
within_palladium,within_metal_cross_scale,,palladium,5,palladium_futures_LTC,Futures LTC,palladium_futures_LTC,palladium_futures,palladium,futures,LTC
within_palladium,within_metal_cross_scale,,palladium,6,palladium_spot_LTC,Spot LTC,palladium_spot_LTC,palladium_spot,palladium,spot,LTC
