lag,aic,bic,n_obs,target,network_id
4,-7629.416825531065,-7502.621634602163,3096,gold_futures_LTC,within_gold
5,-8171.181400659309,-8014.205277846222,3095,gold_futures_LTC,within_gold
1,-8299.314693860073,-8263.081685313347,3099,gold_spot_LTC,within_gold
2,-8382.422129445844,-8315.9984972151,3098,gold_spot_LTC,within_gold
3,-9486.51666164805,-9389.905634768478,3097,gold_spot_LTC,within_gold
4,-9672.793006246779,-9545.997815317876,3096,gold_spot_LTC,within_gold
5,-10016.978974811114,-9860.002851998028,3095,gold_spot_LTC,within_gold
1,13460.10384055601,13496.336849102736,3099,silver_futures_STC,within_silver
2,13395.937353410805,13462.36098564155,3098,silver_futures_STC,within_silver
3,13334.707415443909,13431.31844232348,3097,silver_futures_STC,within_silver
4,13301.967192913815,13428.762383842717,3096,silver_futures_STC,within_silver
5,13257.17901183356,13414.155134646646,3095,silver_futures_STC,within_silver
1,13028.020759620933,13064.253768167659,3099,silver_spot_STC,within_silver
2,12981.03555784262,13047.459190073365,3098,silver_spot_STC,within_silver
3,12929.989321238903,13026.600348118474,3097,silver_spot_STC,within_silver
4,12900.46391752876,13027.259108457662,3096,silver_spot_STC,within_silver
5,12811.51153661942,12968.487659432507,3095,silver_spot_STC,within_silver
1,509.16450340382744,545.397511950554,3099,silver_futures_MTC,within_silver
2,-14.44087385471812,51.98275837602684,3098,silver_futures_MTC,within_silver
3,-1204.4727334870922,-1107.861706607521,3097,silver_futures_MTC,within_silver
4,-1949.3473272027213,-1822.5521362738193,3096,silver_futures_MTC,within_silver
5,-2899.1127332961814,-2742.1366104830954,3095,silver_futures_MTC,within_silver
1,5916.809277028155,5953.042285574881,3099,silver_spot_MTC,within_silver
2,4242.57542104782,4308.999053278565,3098,silver_spot_MTC,within_silver
3,3357.0696764275344,3453.680703307106,3097,silver_spot_MTC,within_silver
4,3253.5515822703273,3380.346773199229,3096,silver_spot_MTC,within_silver
5,3233.297958476551,3390.274081289637,3095,silver_spot_MTC,within_silver
1,-6972.881203700545,-6936.648195153818,3099,silver_futures_LTC,within_silver
2,-7071.942491779657,-7005.518859548912,3098,silver_futures_LTC,within_silver
3,-7741.801008713195,-7645.189981833624,3097,silver_futures_LTC,within_silver
