network_id,network_type,network_scale,network_metal,node,FROM,TO,NET
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,12.130286387661002,37.406154506761546,25.275868119100544
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,22.736278749211042,10.535570596904932,-12.20070815230611
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,13.537014861106378,14.248065718177353,0.7110508570709744
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,10.786390722195673,9.20340962875319,-1.5829810934424824
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,20.54536901027279,14.137368507337511,-6.408000502935279
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,17.97355027143511,10.310491834132518,-7.66305843730259
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,12.919529381156647,13.811687692503801,0.8921583113471545
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,9.078563500291613,10.054234398759409,0.9756708984677953
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,52.585505708042504,50.925263588954884,-1.66024211908762
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,26.88697860176845,13.585507505351856,-13.301471096416595
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,88.01721131784738,92.61203237747456,4.594821059627179
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,84.19088106763525,86.30455461812043,2.1136735504851885
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,72.40730536495502,68.69382078289814,-3.7134845820568785
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,69.76759526448717,73.1465007550406,3.3789054905534357
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,88.94410842022734,97.80033000896702,8.856221588739686
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,83.67682030448607,83.40839641264171,-0.268423891844364
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,79.12355796308928,67.41567973317967,-11.70787822990961
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,88.51320295204916,71.52863055440389,-16.984572397645266
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,92.16661316709747,101.8814152732961,9.714802106198633
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,91.03080009340374,83.65482914443578,-7.375970948967961
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,88.90285880123373,107.6340129547537,18.731154153519967
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,75.10641381932146,72.28426134362739,-2.822152475694068
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,94.38254280796554,100.78725298995776,6.404710181992229
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,78.04840690014316,82.08831451064928,4.03990761050612
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,14.148795637331807,40.768097577595135,26.619301940263327
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,24.286201260376757,48.81809395811278,24.531892697736026
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,72.48625437038854,75.21253326465614,2.726278894267608
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,76.74665026886026,62.36100031898184,-14.385649949878427
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,69.74335752911429,55.00656331870204,-14.73679421041225
within_gold,within_metal_cross_scale,,gold,gold_spot_LTC,67.0425792313381,42.28754985936181,-24.755029371976285
within_silver,within_metal_cross_scale,,silver,silver_futures_STC,13.943160809846322,72.95341220055965,59.010251390713336
within_silver,within_metal_cross_scale,,silver,silver_spot_STC,8.455820227886337,56.354322190465226,47.89850196257889
within_silver,within_metal_cross_scale,,silver,silver_futures_MTC,81.6686298248953,61.50491848617854,-20.163711338716766
within_silver,within_metal_cross_scale,,silver,silver_spot_MTC,73.70970519157892,32.709820692385996,-40.99988449919292
within_silver,within_metal_cross_scale,,silver,silver_futures_LTC,44.43898828133115,16.6361867628947,-27.80280151843645
within_silver,within_metal_cross_scale,,silver,silver_spot_LTC,75.18300714990573,57.24065115295968,-17.942355996946056
within_platinum,within_metal_cross_scale,,platinum,platinum_futures_STC,8.966823696410842,12.849077888642906,3.8822541922320646
within_platinum,within_metal_cross_scale,,platinum,platinum_spot_STC,8.882616394122422,12.821088463404115,3.9384720692816924
within_platinum,within_metal_cross_scale,,platinum,platinum_futures_MTC,92.51290319768613,92.75394086292673,0.24103766524059722
within_platinum,within_metal_cross_scale,,platinum,platinum_spot_MTC,92.98869353010372,95.1315039552121,2.1428104251083795
within_platinum,within_metal_cross_scale,,platinum,platinum_futures_LTC,86.78057263156802,84.88305763624587,-1.8975149953221546
within_platinum,within_metal_cross_scale,,platinum,platinum_spot_LTC,86.52592492018248,78.2188655636419,-8.307059356540577
within_palladium,within_metal_cross_scale,,palladium,palladium_futures_STC,8.16707065818365,20.957527615494453,12.790456957310802
within_palladium,within_metal_cross_scale,,palladium,palladium_spot_STC,7.178177248205484,20.277939633634006,13.099762385428521
within_palladium,within_metal_cross_scale,,palladium,palladium_futures_MTC,90.55475928553564,94.31109502835439,3.7563357428187487
within_palladium,within_metal_cross_scale,,palladium,palladium_spot_MTC,90.73582419937233,93.45307269893513,2.7172484995627997
within_palladium,within_metal_cross_scale,,palladium,palladium_futures_LTC,79.88600103063845,56.01595268097028,-23.870048349668174
within_palladium,within_metal_cross_scale,,palladium,palladium_spot_LTC,76.92772608577344,68.43397085032075,-8.493755235452696
