network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,NPDC
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_spot_STC,1.941256051964713,1.3723361264283152,0.5689199255363979
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_spot_STC,2.00596255235297,0.9087705403992272,1.0971920119537426
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,palladium_spot_STC,1.1828348050162165,1.2833009260789932,-0.10046612106277664
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_futures_STC,0.6614649037545591,1.6330654055656848,-0.9716005018111257
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_futures_STC,1.2157074749346126,0.5863177344215542,0.6293897405130584
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_futures_STC,1.53029616106272,1.1980676593868127,0.33222850167590723
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,palladium_futures_STC,3.6145402710988304,3.1972607214061997,0.4172795496926307
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_spot_STC,0.7488405140479134,0.7322523752468749,0.016588138801038488
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_spot_STC,1.0000841477817792,0.5487647992482708,0.4513193485335084
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_spot_STC,1.2833009260789932,1.1828348050162165,0.10046612106277664
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_futures_MTC,1.602584726136949,0.7411566642517835,0.8614280618851655
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_futures_MTC,3.2625059415145796,5.0323822884603,-1.7698763469457206
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_futures_MTC,1.5703326002992581,1.8775761540232843,-0.3072435537240261
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,gold_spot_MTC,32.587724473295665,28.525589295273722,4.0621351780219435
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_spot_MTC,6.459809858105217,8.451270266853017,-1.9914604087478
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_spot_MTC,3.0685542193386475,4.743131765451959,-1.6745775461133112
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_spot_MTC,2.373751770264559,3.214399273728435,-0.8406475034638756
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_futures_MTC,0.7411566642517835,1.602584726136949,-0.8614280618851655
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_futures_MTC,1.3450943298485019,2.7020558852389365,-1.3569615553904346
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_futures_MTC,1.581094322255623,2.4760766916430463,-0.8949823693874233
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_spot_MTC,3.646500711035594,7.808604351159845,-4.162103640124251
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,silver_spot_MTC,3.5445113512683006,7.357834410839992,-3.813323059571691
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_spot_MTC,1.8365008216718917,3.7894254282195243,-1.9529246065476327
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_spot_MTC,0.8906493050201626,1.150397108530155,-0.2597478035099924
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_futures_MTC,5.0323822884603,3.2625059415145796,1.7698763469457206
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_futures_MTC,2.7020558852389365,1.3450943298485019,1.3569615553904346
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_futures_MTC,7.057364345493056,7.3729793906774805,-0.3156150451844244
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_spot_MTC,6.892398299936428,5.599974452166788,1.2924238477696397
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_spot_MTC,18.549729029322222,17.494929776284796,1.0547992530374266
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,platinum_spot_MTC,45.64674313334097,46.53450210015257,-0.887758966811603
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_spot_MTC,6.731359395682647,6.407225327202666,0.3241340684799807
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_futures_MTC,1.8775761540232843,1.5703326002992581,0.3072435537240261
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_futures_MTC,2.4760766916430463,1.581094322255623,0.8949823693874233
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_futures_MTC,7.3729793906774805,7.057364345493056,0.3156150451844244
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_spot_MTC,3.1154560875534294,3.096727310162223,0.018728777391206375
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_spot_MTC,3.767534174660743,3.3430200095362856,0.4245141651244575
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_spot_MTC,8.552336778865868,9.142632715612905,-0.5902959367470366
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,palladium_spot_MTC,59.14259534069658,58.3997097642759,0.742885576420683
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,gold_futures_MTC,28.525589295273722,32.587724473295665,-4.0621351780219435
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_futures_MTC,7.808604351159845,3.646500711035594,4.162103640124251
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_futures_MTC,5.599974452166788,6.892398299936428,-1.2924238477696397
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_futures_MTC,3.096727310162223,3.1154560875534294,-0.018728777391206375
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_spot_MTC,15.211821236126896,16.196999357290967,-0.9851781211640702
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_spot_MTC,5.84268516441609,7.244303939902273,-1.4016187754861829
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_spot_MTC,2.6084189735925687,2.7239224959406623,-0.11550352234809358
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_futures_MTC,8.451270266853017,6.459809858105217,1.9914604087478
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,silver_futures_MTC,7.357834410839992,3.5445113512683006,3.813323059571691
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_futures_MTC,17.494929776284796,18.549729029322222,-1.0547992530374266
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,palladium_futures_MTC,3.3430200095362856,3.767534174660743,-0.4245141651244575
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_spot_MTC,16.196999357290967,15.211821236126896,0.9851781211640702
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_spot_MTC,16.527316229416662,18.191419245217123,-1.6641030158004604
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,palladium_spot_MTC,3.775130704818899,4.042770369786676,-0.2676396649677768
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,gold_futures_MTC,4.743131765451959,3.0685542193386475,1.6745775461133112
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,silver_futures_MTC,3.7894254282195243,1.8365008216718917,1.9529246065476327
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,platinum_futures_MTC,46.53450210015257,45.64674313334097,0.887758966811603
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,palladium_futures_MTC,9.142632715612905,8.552336778865868,0.5902959367470366
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,gold_spot_MTC,7.244303939902273,5.84268516441609,1.4016187754861829
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,silver_spot_MTC,18.191419245217123,16.527316229416662,1.6641030158004604
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,palladium_spot_MTC,8.154914814410667,7.469972073177211,0.6849427412334554
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,gold_futures_MTC,3.214399273728435,2.373751770264559,0.8406475034638756
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,silver_futures_MTC,1.150397108530155,0.8906493050201626,0.2597478035099924
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,platinum_futures_MTC,6.407225327202666,6.731359395682647,-0.3241340684799807
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,palladium_futures_MTC,58.3997097642759,59.14259534069658,-0.742885576420683
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,gold_spot_MTC,2.7239224959406623,2.6084189735925687,0.11550352234809358
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,silver_spot_MTC,4.042770369786676,3.775130704818899,0.2676396649677768
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,platinum_spot_MTC,7.469972073177211,8.154914814410667,-0.6849427412334554
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,silver_futures_LTC,19.44852541088067,18.01399832284179,1.4345270880388803
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,platinum_futures_LTC,4.437259237789029,6.0906549279073126,-1.6533956901182831
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_futures_LTC,3.6352713090152102,4.8659226657148595,-1.2306513566996493
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,gold_spot_LTC,14.655125862954588,20.249305440889216,-5.594179577934629
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,silver_spot_LTC,17.182839619358926,18.120846293181287,-0.9380066738223611
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,platinum_spot_LTC,3.236680198239056,5.201048934109409,-1.9643687358703525
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_spot_LTC,4.8199780949421935,6.581781378445414,-1.7618032835032205
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_futures_LTC,18.01399832284179,19.44852541088067,-1.4345270880388803
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,platinum_futures_LTC,1.8946940271801591,1.6328741019564437,0.26181992522371544
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_futures_LTC,5.261292408648973,6.969589510518192,-1.7082971018692188
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_spot_LTC,39.03624169813293,52.153571947776655,-13.117330249643722
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,silver_spot_LTC,4.19525893062342,4.622493275837708,-0.4272343452142877
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,platinum_spot_LTC,1.2648512341352487,0.9509541102004625,0.3138971239347862
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_spot_LTC,1.8622939328413797,2.7351945948790166,-0.8729006620376369
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,gold_futures_LTC,6.0906549279073126,4.437259237789029,1.6533956901182831
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,silver_futures_LTC,1.6328741019564437,1.8946940271801591,-0.26181992522371544
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,palladium_futures_LTC,4.883119920107724,4.249408778505137,0.6337111416025873
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,gold_spot_LTC,3.8632029306692033,4.235529369600139,-0.3723264389309353
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,silver_spot_LTC,21.639169198826213,18.57739697807118,3.0617722207550315
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,platinum_spot_LTC,56.80587266385967,54.43795657168522,2.367916092174447
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,palladium_spot_LTC,6.966521529969532,4.334368204266601,2.63215332570293
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_futures_LTC,4.8659226657148595,3.6352713090152102,1.2306513566996493
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,silver_futures_LTC,6.969589510518192,5.261292408648973,1.7082971018692188
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,platinum_futures_LTC,4.249408778505137,4.883119920107724,-0.6337111416025873
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_spot_LTC,17.193129117693026,18.275433374461123,-1.0823042567680972
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,silver_spot_LTC,1.6921301893801082,2.094017044456712,-0.40188685507660393
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,platinum_spot_LTC,4.663975148009834,5.149054183708186,-0.48507903569835165
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,palladium_spot_LTC,44.020673734614626,51.732611853005814,-7.711938118391188
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,gold_futures_LTC,20.249305440889216,14.655125862954588,5.594179577934629
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_futures_LTC,52.153571947776655,39.03624169813293,13.117330249643722
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,platinum_futures_LTC,4.235529369600139,3.8632029306692033,0.3723264389309353
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_futures_LTC,18.275433374461123,17.193129117693026,1.0823042567680972
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_spot_LTC,5.619293278833461,5.930336060180828,-0.31104278134736685
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,platinum_spot_LTC,2.4966761416357737,2.9411804960250083,-0.44450435438923463
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_spot_LTC,4.6042034015573075,5.283642635578138,-0.6794392340208306
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_futures_LTC,18.120846293181287,17.182839619358926,0.9380066738223611
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,silver_futures_LTC,4.622493275837708,4.19525893062342,0.4272343452142877
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_futures_LTC,18.57739697807118,21.639169198826213,-3.0617722207550315
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_futures_LTC,2.094017044456712,1.6921301893801082,0.40188685507660393
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_spot_LTC,5.930336060180828,5.619293278833461,0.31104278134736685
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_spot_LTC,18.293065315947285,20.978428863963725,-2.68536354801644
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_spot_LTC,4.646106375952391,3.7992937383356145,0.8468126376167762
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,gold_futures_LTC,5.201048934109409,3.236680198239056,1.9643687358703525
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_futures_LTC,0.9509541102004625,1.2648512341352487,-0.3138971239347862
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,platinum_futures_LTC,54.43795657168522,56.80587266385967,-2.367916092174447
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_futures_LTC,5.149054183708186,4.663975148009834,0.48507903569835165
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,gold_spot_LTC,2.9411804960250083,2.4966761416357737,0.44450435438923463
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_spot_LTC,20.978428863963725,18.293065315947285,2.68536354801644
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_spot_LTC,11.128629830265739,7.62142210613868,3.507207724127059
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,gold_futures_LTC,6.581781378445414,4.8199780949421935,1.7618032835032205
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_futures_LTC,2.7351945948790166,1.8622939328413797,0.8729006620376369
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_futures_LTC,4.334368204266601,6.966521529969532,-2.63215332570293
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,palladium_futures_LTC,51.732611853005814,44.020673734614626,7.711938118391188
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,gold_spot_LTC,5.283642635578138,4.6042034015573075,0.6794392340208306
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_spot_LTC,3.7992937383356145,4.646106375952391,-0.8468126376167762
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_spot_LTC,7.62142210613868,11.128629830265739,-3.507207724127059
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_spot_STC,14.882738124671787,12.148108535960498,2.7346295887112895
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_futures_MTC,10.103729891413119,1.3304489764746508,8.773280914938468
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_spot_MTC,5.252183859322181,0.5983098151404618,4.65387404418172
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_futures_LTC,5.530269488963515,0.015211739501448225,5.515057749462066
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_spot_LTC,4.999176213224539,0.056716570254746565,4.9424596429697925
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_futures_STC,12.148108535960498,14.882738124671787,-2.7346295887112895
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_futures_MTC,15.672954567216385,7.2454883397654015,8.427466227450983
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_spot_MTC,10.795248076636664,2.0940447516083243,8.70120332502834
