network_id,network_type,network_scale,network_metal,target,source,lag,selected_lag,lagged_r2g,lagged_r2g_percent
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,silver_spot_STC,3,5,0.01169846024347919,1.1698460243479192
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,silver_spot_STC,4,5,0.004301282185712627,0.43012821857126265
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,silver_spot_STC,5,5,0.0025327243164726112,0.2532724316472611
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,1,5,0.007892590719952314,0.7892590719952315
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,2,5,0.004075362985049945,0.4075362985049945
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,3,5,0.009259491123245684,0.9259491123245684
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,4,5,0.0037057531964873984,0.37057531964873985
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,5,5,0.003064490184782021,0.3064490184782021
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,1,5,0.0018130261270218803,0.18130261270218803
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,2,5,0.004041993652309121,0.40419936523091204
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,3,5,0.004309703735263507,0.4309703735263507
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,4,5,0.0011492109948534376,0.11492109948534376
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,5,5,0.00084314023989818,0.08431402398981801
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,1,5,0.019135068357488072,1.9135068357488072
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,2,5,0.01651983350156437,1.6519833501564372
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,3,5,0.0043682243912131,0.43682243912130997
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,4,5,0.0007461560167600979,0.07461560167600978
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,5,5,0.0007111047664565,0.07111047664565
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,1,5,0.0022891643325243364,0.22891643325243363
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,2,5,0.0034131669265640156,0.3413166926564016
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,3,5,0.0012386697970363841,0.12386697970363841
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,4,5,0.0016266448501470868,0.16266448501470868
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,5,5,0.0024873642040617937,0.24873642040617935
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_futures_STC,1,5,0.0034101799710518944,0.34101799710518943
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_futures_STC,2,5,0.0036928663233906016,0.3692866323390602
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_futures_STC,3,5,0.0014934345925632893,0.14934345925632894
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_futures_STC,4,5,0.002281737504656501,0.22817375046565008
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_futures_STC,5,5,0.003430876952619824,0.3430876952619824
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_spot_STC,1,5,0.003438508222893992,0.3438508222893992
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_spot_STC,2,5,0.005750768650293907,0.5750768650293907
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_spot_STC,3,5,0.0014876730197591458,0.1487673019759146
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_spot_STC,4,5,0.001401232773208709,0.1401232773208709
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_spot_STC,5,5,0.0016314194727295398,0.16314194727295397
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_spot_STC,1,5,0.001351934597509637,0.1351934597509637
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_spot_STC,2,5,0.003547949297680096,0.35479492976800964
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_spot_STC,3,5,0.00177826753089783,0.17782675308978302
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_spot_STC,4,5,0.0016757225660389789,0.16757225660389788
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_spot_STC,5,5,0.0012893398238824252,0.12893398238824252
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,platinum_spot_STC,1,5,0.0010736718026094843,0.10736718026094844
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,platinum_spot_STC,2,5,0.0124416682247995,1.24416682247995
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,platinum_spot_STC,3,5,0.005142552407848236,0.5142552407848235
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,platinum_spot_STC,4,5,0.006084855028589032,0.6084855028589032
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,platinum_spot_STC,5,5,0.005127131093598194,0.5127131093598194
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_spot_STC,1,5,0.002646703345480952,0.2646703345480952
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_spot_STC,2,5,0.006648622725646807,0.6648622725646808
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_spot_STC,3,5,0.002219269750202875,0.2219269750202875
