network_id,network_type,network_scale,network_metal,target,source,selected_lag,lagged_r2g,lagged_r2g_percent
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_futures_STC,5,0.011980676593868127,1.1980676593868127
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,palladium_futures_STC,5,0.031972607214062,3.1972607214061997
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_spot_STC,5,0.00732252375246875,0.7322523752468749
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_spot_STC,5,0.005487647992482708,0.5487647992482708
same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_spot_STC,5,0.011828348050162165,1.1828348050162165
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_futures_MTC,4,0.0074115666425178355,0.7411566642517835
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_futures_MTC,4,0.050323822884603,5.0323822884603
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_futures_MTC,4,0.018775761540232843,1.8775761540232843
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,gold_spot_MTC,4,0.28525589295273723,28.525589295273722
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_spot_MTC,4,0.08451270266853017,8.451270266853017
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_spot_MTC,4,0.047431317654519585,4.743131765451959
same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_spot_MTC,4,0.03214399273728435,3.214399273728435
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_futures_MTC,5,0.01602584726136949,1.602584726136949
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_futures_MTC,5,0.027020558852389364,2.7020558852389365
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_futures_MTC,5,0.024760766916430463,2.4760766916430463
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_spot_MTC,5,0.07808604351159845,7.808604351159845
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,silver_spot_MTC,5,0.07357834410839992,7.357834410839992
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_spot_MTC,5,0.03789425428219524,3.7894254282195243
same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_spot_MTC,5,0.011503971085301549,1.150397108530155
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_futures_MTC,3,0.0326250594151458,3.2625059415145796
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_futures_MTC,3,0.013450943298485018,1.3450943298485019
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_futures_MTC,3,0.07372979390677481,7.3729793906774805
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_spot_MTC,3,0.05599974452166788,5.599974452166788
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_spot_MTC,3,0.17494929776284796,17.494929776284796
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,platinum_spot_MTC,3,0.46534502100152575,46.53450210015257
same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_spot_MTC,3,0.06407225327202666,6.407225327202666
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_futures_MTC,4,0.015703326002992582,1.5703326002992581
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_futures_MTC,4,0.01581094322255623,1.581094322255623
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_futures_MTC,4,0.07057364345493056,7.057364345493056
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_spot_MTC,4,0.03096727310162223,3.096727310162223
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_spot_MTC,4,0.03343020009536286,3.3430200095362856
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_spot_MTC,4,0.09142632715612904,9.142632715612905
same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,palladium_spot_MTC,4,0.583997097642759,58.3997097642759
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,gold_futures_MTC,5,0.32587724473295665,32.587724473295665
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_futures_MTC,5,0.03646500711035594,3.646500711035594
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_futures_MTC,5,0.06892398299936428,6.892398299936428
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_futures_MTC,5,0.031154560875534292,3.1154560875534294
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_spot_MTC,5,0.16196999357290967,16.196999357290967
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_spot_MTC,5,0.07244303939902273,7.244303939902273
same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_spot_MTC,5,0.027239224959406623,2.7239224959406623
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_futures_MTC,4,0.06459809858105217,6.459809858105217
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,silver_futures_MTC,4,0.03544511351268301,3.5445113512683006
same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_futures_MTC,4,0.1854972902932222,18.549729029322222
