network_id,network_type,network_scale,network_metal,TCI,mean_total_r2,min_total_r2,max_total_r2
same_scale_STC,same_scale_cross_metal,STC,,14.96337286041628,0.1496337286041628,0.09078563500291613,0.22736278749211042
same_scale_MTC,same_scale_cross_metal,MTC,,70.80955075618117,0.7080955075618116,0.2688697860176845,0.8894410842022734
same_scale_LTC,same_scale_cross_metal,LTC,,85.90929956303795,0.8590929956303794,0.7510641381932146,0.9438254280796554
within_gold,within_metal_cross_scale,,gold,54.07563971623496,0.5407563971623496,0.14148795637331807,0.7674665026886026
within_silver,within_metal_cross_scale,,silver,49.56655191424063,0.49566551914240625,0.08455820227886336,0.8166862982489531
within_platinum,within_metal_cross_scale,,platinum,62.776255728345596,0.627762557283456,0.08882616394122422,0.9298869353010372
within_palladium,within_metal_cross_scale,,palladium,58.90825975128483,0.5890825975128483,0.07178177248205485,0.9073582419937233
