date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,node,FROM,TO,NET
,3100,2012-01-04,2026-03-31,within_platinum,within_metal_cross_scale,,platinum,platinum_futures_STC,84.39385200035828,84.16670458690267,-0.2271474134556115
,3100,2012-01-04,2026-03-31,within_platinum,within_metal_cross_scale,,platinum,platinum_spot_STC,84.39274384215885,84.11792691488812,-0.27481692727073437
,3100,2012-01-04,2026-03-31,within_platinum,within_metal_cross_scale,,platinum,platinum_futures_MTC,89.04155574921569,89.74726651472325,0.7057107655075612
,3100,2012-01-04,2026-03-31,within_platinum,within_metal_cross_scale,,platinum,platinum_spot_MTC,89.17799778579841,90.80412209130876,1.626124305510345
,3100,2012-01-04,2026-03-31,within_platinum,within_metal_cross_scale,,platinum,platinum_futures_LTC,81.28066687006523,81.25851442999583,-0.022152440069405088
,3100,2012-01-04,2026-03-31,within_platinum,within_metal_cross_scale,,platinum,platinum_spot_LTC,79.83092388026157,78.0232055900394,-1.8077182902221693
,3100,2012-01-04,2026-03-31,within_palladium,within_metal_cross_scale,,palladium,palladium_futures_STC,88.11957779404058,89.01736118642808,0.8977833923874954
,3100,2012-01-04,2026-03-31,within_palladium,within_metal_cross_scale,,palladium,palladium_spot_STC,87.99476615549861,88.48124164430506,0.4864754888064482
,3100,2012-01-04,2026-03-31,within_palladium,within_metal_cross_scale,,palladium,palladium_futures_MTC,84.77524887383446,86.7586479266839,1.9833990528494496
,3100,2012-01-04,2026-03-31,within_palladium,within_metal_cross_scale,,palladium,palladium_spot_MTC,85.16363992990198,86.98397899629059,1.8203390663886125
,3100,2012-01-04,2026-03-31,within_palladium,within_metal_cross_scale,,palladium,palladium_futures_LTC,58.230189489262216,55.6425090327409,-2.587680456521319
,3100,2012-01-04,2026-03-31,within_palladium,within_metal_cross_scale,,palladium,palladium_spot_LTC,60.52009618336005,57.919779639449374,-2.6003165439106795
