date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,strict_r2g_NPDC,pca_NPDC,strict_minus_pca_NPDC
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,silver_futures_STC,11.684579210879646,11.89890134142942,-0.21432213054977467,0.3312169147372909,-0.5455390452870656
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,platinum_futures_STC,5.656152681073056,5.720760008707932,-0.0646073276348762,2.5605416652104767,-2.625148992845353
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,palladium_futures_STC,2.3586495284030127,2.2227624165594904,0.1358871118435223,2.284135741072688,-2.148248629229166
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,gold_spot_STC,24.527803897722738,26.720941751413225,-2.1931378536904873,-0.5903839736541378,-1.6027538800363494
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,silver_spot_STC,8.769247413637196,9.107317924100943,-0.3380705104637478,0.3755748680660586,-0.7136453785298065
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,platinum_spot_STC,4.817110776215774,4.773812809567744,0.043297966648029984,1.5272310646032892,-1.4839330979552592
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,palladium_spot_STC,2.011503393335776,1.8517387036371922,0.15976468969858404,2.1572510540592438,-1.9974863643606597
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,gold_futures_STC,11.89890134142942,11.684579210879646,0.21432213054977467,-0.3312169147372909,0.5455390452870656
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_futures_STC,6.682936683628489,6.725322486068391,-0.04238580243990242,5.006665014583457,-5.0490508170233594
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_futures_STC,4.146460301632778,4.1522211967064875,-0.005760895073709804,2.238207105339096,-2.243968000412806
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,gold_spot_STC,9.71298114596376,10.051765910584974,-0.33878476462121476,-1.043845199130247,0.7050604345090323
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,silver_spot_STC,25.665198700482637,27.809448515402117,-2.1442498149194797,-0.1400340504859737,-2.004215764433506
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,5.791762201964919,5.7939518656666635,-0.0021896637017446707,2.0798213998503066,-2.0820110635520512
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,3.096617374482517,2.937830580512104,0.15878679397041306,2.2444752658259306,-2.0856884718555175
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,5.720760008707932,5.656152681073056,0.0646073276348762,-2.5605416652104767,2.625148992845353
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,6.725322486068391,6.682936683628489,0.04238580243990242,-5.006665014583457,5.0490508170233594
