date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,NPDC
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,silver_futures_STC,27.809448515402117,25.665198700482637,2.1442498149194797
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_futures_STC,8.073374023861087,7.481761686849089,0.5916123370119974
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_futures_STC,3.2817905586861826,2.9571001944859234,0.3246903642002592
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_spot_STC,19.730757823361,19.407451212789347,0.32330661057165244
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,10.888523854139024,10.637563776274092,0.25096007786493146
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,4.147397265270395,3.960262491811369,0.18713477345902563
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,4.773812809567744,4.817110776215774,-0.043297966648029984
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_futures_STC,5.7939518656666635,5.791762201964919,0.0021896637017446707
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,platinum_futures_STC,41.03766541621778,40.04076849553458,0.9968969206831986
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,palladium_futures_STC,7.896960321345575,7.481470636614279,0.41548968473129566
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_spot_STC,8.911508867331849,9.165810478378418,-0.2543016110465697
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_spot_STC,10.637563776274092,10.888523854139024,-0.25096007786493146
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,palladium_spot_STC,9.755686808109893,9.516852695385602,0.238834112724291
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_futures_STC,1.8517387036371922,2.011503393335776,-0.15976468969858404
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_futures_STC,2.937830580512104,3.096617374482517,-0.15878679397041306
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_futures_STC,7.80381039883806,8.107793060272725,-0.3039826614346648
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,palladium_futures_STC,58.13533279941468,58.36282979249068,-0.22749699307600224
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_spot_STC,2.788386600416655,2.924453450209027,-0.13606684979237205
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_spot_STC,3.960262491811369,4.147397265270395,-0.18713477345902563
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_spot_STC,9.516852695385602,9.755686808109893,-0.238834112724291
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_futures_MTC,0.5540042768664265,0.4862469964357204,0.06775728043070611
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_futures_MTC,3.8233612456360073,3.7233669910238403,0.09999425461216704
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_futures_MTC,1.5115586693629122,1.543008079102833,-0.03144940973992094
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,gold_spot_MTC,24.90311174233583,27.177379609732995,-2.274267867397164
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_spot_MTC,7.00605143754314,7.58118286444429,-0.5751314269011498
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_spot_MTC,3.562105630653836,3.459056311214271,0.10304931943956497
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_spot_MTC,2.416452253596708,2.6677416884250977,-0.2512894348283896
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_futures_MTC,0.4862469964357204,0.5540042768664265,-0.06775728043070611
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_futures_MTC,1.1122882238227092,1.122603382595862,-0.0103151587731527
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_futures_MTC,0.8772550625243313,1.2165938591473615,-0.33933879662303024
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_spot_MTC,2.788371336663427,3.32942335516774,-0.5410520185043128
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,silver_spot_MTC,2.6310211886133903,3.0215289471955917,-0.39050775858220144
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_spot_MTC,1.573580600283396,1.7402167573804406,-0.1666361570970445
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_spot_MTC,0.37298388072294436,0.5515079020480101,-0.17852402132506578
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_futures_MTC,3.7233669910238403,3.8233612456360073,-0.09999425461216704
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_futures_MTC,1.122603382595862,1.1122882238227092,0.0103151587731527
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_futures_MTC,6.671686830719656,6.703191528283527,-0.03150469756387064
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_spot_MTC,5.775447010262303,6.242903929908616,-0.4674569196463132
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_spot_MTC,17.35524013083891,18.1996413734206,-0.8444012425816894
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,platinum_spot_MTC,43.91904637541676,44.632901350634505,-0.7138549752177425
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_spot_MTC,6.431580888538342,6.337475150982004,0.09410573755633767
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_futures_MTC,1.543008079102833,1.5115586693629122,0.03144940973992094
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_futures_MTC,1.2165938591473615,0.8772550625243313,0.33933879662303024
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_futures_MTC,6.703191528283527,6.671686830719656,0.03150469756387064
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_spot_MTC,2.759102178492968,2.935938351557012,-0.1768361730640442
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_spot_MTC,3.390639529973153,3.6675830081273038,-0.27694347815415066
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_spot_MTC,7.767462112380421,8.066826123807706,-0.2993640114272855
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,palladium_spot_MTC,58.564155169234475,57.9965118344431,0.5676433347913772
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,gold_futures_MTC,27.177379609732995,24.90311174233583,2.274267867397164
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_futures_MTC,3.32942335516774,2.788371336663427,0.5410520185043128
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_futures_MTC,6.242903929908616,5.775447010262303,0.4674569196463132
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_futures_MTC,2.935938351557012,2.759102178492968,0.1768361730640442
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_spot_MTC,15.651683027072524,16.034489109814466,-0.3828060827419417
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_spot_MTC,6.223594652158203,5.80790553665078,0.4156891155074236
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_spot_MTC,2.403187967800522,2.151600771527827,0.25158719627269477
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_futures_MTC,7.58118286444429,7.00605143754314,0.5751314269011498
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,silver_futures_MTC,3.0215289471955917,2.6310211886133903,0.39050775858220144
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_futures_MTC,18.1996413734206,17.35524013083891,0.8444012425816894
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,palladium_futures_MTC,3.6675830081273038,3.390639529973153,0.27694347815415066
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_spot_MTC,16.034489109814466,15.651683027072524,0.3828060827419417
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_spot_MTC,17.77004801199257,17.11105231276095,0.658995699231621
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,palladium_spot_MTC,3.6684325583024813,3.3834063054019503,0.28502625290053096
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,gold_futures_MTC,3.459056311214271,3.562105630653836,-0.10304931943956497
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,silver_futures_MTC,1.7402167573804406,1.573580600283396,0.1666361570970445
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,platinum_futures_MTC,44.632901350634505,43.91904637541676,0.7138549752177425
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,palladium_futures_MTC,8.066826123807706,7.767462112380421,0.2993640114272855
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,gold_spot_MTC,5.80790553665078,6.223594652158203,-0.4156891155074236
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,silver_spot_MTC,17.11105231276095,17.77004801199257,-0.658995699231621
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,palladium_spot_MTC,7.366741288323207,6.932727422680221,0.43401386564298594
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,gold_futures_MTC,2.6677416884250977,2.416452253596708,0.2512894348283896
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,silver_futures_MTC,0.5515079020480101,0.37298388072294436,0.17852402132506578
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,platinum_futures_MTC,6.337475150982004,6.431580888538342,-0.09410573755633767
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,palladium_futures_MTC,57.9965118344431,58.564155169234475,-0.5676433347913772
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,gold_spot_MTC,2.151600771527827,2.403187967800522,-0.25158719627269477
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,silver_spot_MTC,3.3834063054019503,3.6684325583024813,-0.28502625290053096
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,platinum_spot_MTC,6.932727422680221,7.366741288323207,-0.43401386564298594
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,silver_futures_LTC,15.824963201412304,14.93519413679865,0.8897690646136542
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,platinum_futures_LTC,3.4427356144110512,3.7179774902728364,-0.27524187586178517
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_futures_LTC,3.001562586216041,2.371531925444055,0.6300306607719861
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,gold_spot_LTC,14.196407959811634,14.369692660875366,-0.17328470106373217
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,silver_spot_LTC,17.08229018150183,17.633079451944337,-0.5507892704425075
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,platinum_spot_LTC,2.6802119230817087,2.7973587656003502,-0.11714684251864149
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_spot_LTC,3.4891852728752566,3.3354734099156755,0.15371186295958106
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_futures_LTC,14.93519413679865,15.824963201412304,-0.8897690646136542
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,platinum_futures_LTC,0.6662009266035989,0.9029889593677052,-0.23678803276410632
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_futures_LTC,3.6912523848129353,3.5008383200122104,0.19041406480072487
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_spot_LTC,38.03949113603118,42.49470715793963,-4.4552160219084485
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,silver_spot_LTC,3.4660237884681213,3.754609694091482,-0.2885859056233606
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,platinum_spot_LTC,0.45386442654006587,0.5451435382186922,-0.09127911167862635
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_spot_LTC,1.3012249905227589,1.188250005290678,0.11297498523208094
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,gold_futures_LTC,3.7179774902728364,3.4427356144110512,0.27524187586178517
