date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,target,source,r2g,r2g_percent
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,0.10637563776274092,10.637563776274092
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,0.03960262491811369,3.960262491811369
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,0.04817110776215774,4.817110776215774
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_futures_STC,0.05791762201964919,5.791762201964919
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,platinum_futures_STC,0.4004076849553458,40.04076849553458
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,palladium_futures_STC,0.07481470636614279,7.481470636614279
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_spot_STC,0.09165810478378418,9.165810478378418
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_spot_STC,0.10888523854139023,10.888523854139024
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,palladium_spot_STC,0.09516852695385603,9.516852695385602
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_futures_STC,0.02011503393335776,2.011503393335776
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_futures_STC,0.030966173744825173,3.096617374482517
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_futures_STC,0.08107793060272725,8.107793060272725
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,palladium_futures_STC,0.5836282979249068,58.36282979249068
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_spot_STC,0.02924453450209027,2.924453450209027
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_spot_STC,0.04147397265270395,4.147397265270395
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_spot_STC,0.09755686808109892,9.755686808109893
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_futures_MTC,0.004862469964357204,0.4862469964357204
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_futures_MTC,0.0372336699102384,3.7233669910238403
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_futures_MTC,0.01543008079102833,1.543008079102833
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,gold_spot_MTC,0.27177379609732993,27.177379609732995
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_spot_MTC,0.0758118286444429,7.58118286444429
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_spot_MTC,0.03459056311214271,3.459056311214271
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_spot_MTC,0.026677416884250977,2.6677416884250977
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_futures_MTC,0.005540042768664265,0.5540042768664265
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_futures_MTC,0.011226033825958619,1.122603382595862
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_futures_MTC,0.012165938591473614,1.2165938591473615
