series,n_obs,max_abs_error,mean_abs_error,rmse
gold_futures,3100,1.7763568394002505e-15,8.736529085299097e-17,1.7091107993055724e-16
silver_futures,3100,7.105427357601002e-15,1.1776436121072133e-16,3.0008187904160593e-16
platinum_futures,3100,3.552713678800501e-15,1.3305972587192876e-16,2.6521931793961406e-16
palladium_futures,3100,5.329070518200751e-15,1.5667190047548161e-16,3.4764081866001317e-16
gold_spot,3100,3.552713678800501e-15,7.80739230546356e-17,1.6570131064894202e-16
silver_spot,3100,7.105427357601002e-15,1.2945122124778798e-16,3.205592835656176e-16
platinum_spot,3100,3.552713678800501e-15,1.2044898568684995e-16,2.366799612013475e-16
palladium_spot,3100,3.552713678800501e-15,1.5549214861476288e-16,3.0186457133503975e-16
