date,original,STC,MTC,LTC,hierarchical_reconstructed,hierarchical_error
2012-01-04,0.7593712576551503,0.4477416443047606,0.2173361429927072,0.0942934703576822,0.75937125765515,-3.3306690738754696e-16
2012-01-05,0.4578082729902455,0.1366356575337539,0.226869477040718,0.0943031384157736,0.45780827299024546,-5.551115123125783e-17
2012-01-06,-0.2038988626960503,-0.5511422215998619,0.2531256176307052,0.0941177412731064,-0.20389886269605034,-5.551115123125783e-17
2012-01-09,-0.5395529229432761,-0.9022379463571736,0.2689520319750406,0.0937329914388572,-0.5395529229432758,2.220446049250313e-16
2012-01-10,1.4446479173396476,1.0850555072526855,0.2664478086647609,0.0931446014222011,1.4446479173396476,0.0
2012-01-11,0.4952472596807311,0.1520458303927931,0.2508531261898145,0.0923483030981234,0.49524725968073097,-1.1102230246251565e-16
2012-01-12,0.4928066433203426,0.1696108761007334,0.2318557614154899,0.0913400058041192,0.4928066433203425,-5.551115123125783e-17
2012-01-13,-1.03096841182877,-1.3393173821177846,0.2182324798769956,0.0901164904120188,-1.03096841182877,0.0
2012-01-16,1.5092788929479184,1.208958204178947,0.2116434914532952,0.088677197315676,1.5092788929479182,-2.220446049250313e-16
2012-01-18,0.259387869759653,-0.0453466671831429,0.2177092013008064,0.0870253356419896,0.2593878697596531,1.1102230246251565e-16
2012-01-19,-0.3258511210507464,-0.6546293339206773,0.2436119622837841,0.0851662505861466,-0.32585112105074665,-2.7755575615628914e-16
2012-01-20,0.572549401948752,0.1937524680109252,0.2956907580648962,0.0831061758729306,0.5725494019487519,-1.1102230246251565e-16
2012-01-23,0.8557033932979685,0.3948054571470494,0.3800462675840285,0.0808516685668907,0.8557033932979686,1.1102230246251565e-16
2012-01-24,-0.8256598299054119,-1.3984921150700376,0.4944229203418601,0.0784093648227655,-0.825659829905412,-1.1102230246251565e-16
2012-01-25,2.1162294828603656,1.4376535567214428,0.6027899972340648,0.0757859289048582,2.1162294828603656,0.0
2012-01-26,1.5524999574701326,0.8176887425540849,0.6618231439498011,0.0729880709662466,1.5524999574701326,0.0
2012-01-27,0.3180204478559822,-0.3933577092419069,0.641355637989887,0.070022519108002,0.31802044785598216,-5.551115123125783e-17
