date,original,STC,MTC,LTC,hierarchical_reconstructed,hierarchical_error
2012-01-04,-1.6192891615337768,-2.424469999061364,0.8743458292594519,-0.0691649917318651,-1.6192891615337772,-4.440892098500626e-16
2012-01-05,0.6815911852639189,-0.135709587244778,0.8864878809397058,-0.0691871084310088,0.6815911852639189,0.0
2012-01-06,-2.114637516073614,-2.9423064195999897,0.8968789568290063,-0.0692100533026311,-2.1146375160736146,-4.440892098500626e-16
2012-01-09,0.3445578976563279,-0.4916697722627211,0.9054614998471004,-0.0692338299280514,0.34455789765632794,5.551115123125783e-17
2012-01-10,3.5261430827087104,2.6832126646771943,0.9121888599201088,-0.0692584418885924,3.526143082708711,4.440892098500626e-16
2012-01-11,0.2512353720777405,-0.5965060190137731,0.9170252838326924,-0.0692838927411788,0.25123537207774055,5.551115123125783e-17
2012-01-12,0.779821994325891,-0.0708129908176581,0.9199451710886892,-0.0693101859451402,0.7798219943258909,-1.1102230246251565e-16
2012-01-13,-2.0186448124300598,-2.870239596603034,0.9209321091083836,-0.0693373249354096,-2.0186448124300598,0.0
2012-01-16,2.0551538820202886,1.2045423282504508,0.9199768669167592,-0.0693653131469216,2.055153882020288,-4.440892098500626e-16
2012-01-18,1.344823985816079,0.4971412711418039,0.9170768686888824,-0.0693941540146069,1.3448239858160795,4.440892098500626e-16
2012-01-19,-0.1113804740710211,-0.954190565719669,0.912233942622048,-0.0694238509734002,-0.11138047407102114,-4.163336342344337e-17
2012-01-20,3.7506004154744583,2.9145993909272714,0.9054554319567144,-0.0694544074095273,3.7506004154744583,0.0
2012-01-23,1.8610279856667853,1.0337593472915927,0.8967544648445445,-0.0694858264693515,1.8610279856667857,4.440892098500626e-16
2012-01-24,-0.9183658598964416,-1.734995126716625,0.8861473778905652,-0.0695181110703817,-0.9183658598964415,1.1102230246251565e-16
2012-01-25,3.521317483306108,2.7172148882465,0.8736538591325205,-0.0695512640729129,3.5213174833061074,-4.440892098500626e-16
2012-01-26,1.860546610127312,1.0708354440417525,0.8592964543741048,-0.0695852882885453,1.860546610127312,0.0
2012-01-27,0.13919123269579,-0.6342901441531285,0.8431015633656245,-0.0696201865167059,0.13919123269579012,1.1102230246251565e-16
2012-01-30,-0.7813816365453974,-1.5368275800981483,0.8251019050880004,-0.0696559615352494,-0.7813816365453974,0.0
2012-01-31,-0.793548011279599,-1.5291959593584377,0.8053405640071969,-0.069692615928358,-0.7935480112795987,2.220446049250313e-16
2012-02-01,1.6252277390373493,0.9110833349765364,0.7838745558723613,-0.0697301518115484,1.6252277390373493,0.0
2012-02-02,1.0826500971691466,0.3916426390218024,0.7607760292700694,-0.069768571122725,1.0826500971691468,2.220446049250313e-16
2012-02-03,-1.2543595360070103,-1.9206800962541624,0.7361284360240505,-0.0698078757768984,-1.2543595360070103,0.0
2012-02-06,0.0029630068595576,-0.6372112027869802,0.7100222772908885,-0.0698480676443507,0.0029630068595576375,3.7730235602495554e-17
2012-02-07,1.306977276237875,0.6943122901512725,0.68255413458311,-0.0698891484965075,1.306977276237875,0.0
2012-02-08,-1.4433665404202325,-2.0272612890290738,0.6538258686902558,-0.0699311200814144,-1.4433665404202323,2.220446049250313e-16
2012-02-09,0.6299838939412883,0.0760143658732209,0.6239435122002459,-0.0699739841321784,0.6299838939412884,1.1102230246251565e-16
2012-02-10,-0.9271256113527304,-1.4501225003332925,0.5930146312963538,-0.0700177423157917,-0.9271256113527304,0.0
2012-02-13,0.3505335853188018,-0.1405514030517767,0.5611473846294929,-0.0700623962589143,0.35053358531880185,5.551115123125783e-17
2012-02-14,-1.1152642807422009,-1.5736068747780934,0.5284505416177494,-0.0701079475818569,-1.1152642807422009,0.0
2012-02-15,0.179759171180649,-0.2451194778056967,0.4950330468731664,-0.0701543978868206,0.1797591711806491,1.1102230246251565e-16
2012-02-16,-0.1138099496890809,-0.5046120715166739,0.4610038705311617,-0.0702017487035687,-0.11380994968908086,4.163336342344337e-17
2012-02-17,-0.4625605219858997,-0.8187825070967476,0.4264719866452741,-0.0702500015344262,-0.4625605219858997,0.0
2012-02-20,3.586754494722077,3.265507283334754,0.3915463692147616,-0.0702991578274387,3.5867544947220766,-4.440892098500626e-16
2012-02-22,-0.5095886280467088,-0.7955754012549417,0.3563359921443056,-0.0703492189360726,-0.5095886280467088,0.0
2012-02-23,3.730557216925101,3.480007516437265,0.3209498865924058,-0.0704001861045697,3.730557216925101,0.0
2012-02-24,-0.6150046184969948,-0.8300499942368138,0.2854974361541051,-0.0704520604142861,-0.6150046184969947,1.1102230246251565e-16
2012-02-27,0.5249652201799293,0.3453814848182522,0.2500885780503693,-0.0705048426886922,0.5249652201799294,1.1102230246251565e-16
2012-02-28,4.623463645296688,4.479188866530555,0.2148333123594965,-0.0705585335933623,4.623463645296688,0.0
2012-02-29,-7.137634210113619,-7.246862298262367,0.1798412217504582,-0.0706131336017109,-7.137634210113619,0.0
2012-03-01,2.899083591850893,2.824532075732116,0.145220159131377,-0.0706686430126005,2.899083591850893,0.0
