date,original,emd_reconstructed,emd_error,gold_spot_STC,gold_spot_MTC,gold_spot_LTC,scale_reconstructed,scale_error
2012-01-04,0.4882442581145341,0.4882442581145338,-2.7755575615628914e-16,0.2836306878453626,-0.0533371839725415,0.257950754241713,0.4882442581145341,0.0
2012-01-05,0.6000339669721022,0.6000339669721022,0.0,0.4706647010482101,-0.1494800242885162,0.2788492902124084,0.6000339669721023,1.1102230246251565e-16
2012-01-06,-0.239581711274095,-0.23958171127409483,1.6653345369377348e-16,-0.3175775708792155,-0.2387423381179722,0.3167381977230927,-0.23958171127409505,-5.551115123125783e-17
2012-01-09,-0.413204529147837,-0.4132045291478368,2.220446049250313e-16,-0.7057433311124084,-0.0680138803914859,0.3605526823560574,-0.4132045291478369,1.1102230246251565e-16
2012-01-10,1.322782845865511,1.3227828458655113,2.220446049250313e-16,0.6476687681508522,0.2798318796341573,0.3952821980805019,1.3227828458655113,2.220446049250313e-16
2012-01-11,0.6594517496086638,0.6594517496086636,-2.220446049250313e-16,0.0107397575404303,0.2443992772250082,0.4043127148432252,0.6594517496086637,-1.1102230246251565e-16
2012-01-12,0.3372008262219061,0.33720082622190595,-1.6653345369377348e-16,0.1832172110825701,-0.2156585719869949,0.3696421871263308,0.337200826221906,-1.1102230246251565e-16
2012-01-13,-0.5595849354670612,-0.5595849354670613,-1.1102230246251565e-16,-0.4158856186820653,-0.4225495404181664,0.2788502236331704,-0.5595849354670612,0.0
2012-01-16,0.2528092089699285,0.2528092089699284,-5.551115123125783e-17,0.1608917279571797,-0.0466979625355883,0.1386154435483371,0.25280920896992853,5.551115123125783e-17
2012-01-18,0.9597089805681414,0.9597089805681412,-1.1102230246251565e-16,0.4629157692838294,0.4776350369488104,0.0191581743355014,0.9597089805681411,-2.220446049250313e-16
2012-01-19,-0.1658520196468949,-0.16585201964689505,-1.6653345369377348e-16,-0.6994365173627864,0.5349624880019787,-0.0013779902860871,-0.1658520196468949,0.0
2012-01-20,0.5927842327982269,0.5927842327982269,0.0,0.6200863207549783,-0.1434160604021939,0.1161139724454425,0.5927842327982269,0.0
2012-01-23,0.589290998505021,0.5892909985050209,-1.1102230246251565e-16,0.8704452054573514,-0.6520230235677649,0.3708688166154345,0.589290998505021,0.0
