date,original,emd_reconstructed,emd_error,platinum_spot_STC,platinum_spot_MTC,platinum_spot_LTC,scale_reconstructed,scale_error
2012-01-04,-0.9354078825252188,-0.9354078825252191,-3.3306690738754696e-16,-0.3641621529746672,-0.9621818382551254,0.3909361087045734,-0.9354078825252191,-3.3306690738754696e-16
2012-01-05,-0.2972190992760914,-0.29721909927609164,-2.220446049250313e-16,0.3255284554819507,-1.0351495540624662,0.4124019993044241,-0.29721909927609147,-5.551115123125783e-17
2012-01-06,-0.6755581247971598,-0.6755581247971602,-3.3306690738754696e-16,-0.8096449586936095,-0.4170028515133657,0.5510896854098152,-0.6755581247971599,-1.1102230246251565e-16
2012-01-09,1.7330230369398514,1.733023036939851,-4.440892098500626e-16,0.5059582773418767,0.4795401517948051,0.7475246078031693,1.733023036939851,-4.440892098500626e-16
2012-01-10,2.4247810776458323,2.424781077645832,-4.440892098500626e-16,0.5672335958095716,0.9335116517828944,0.924035830053366,2.424781077645832,-4.440892098500626e-16
2012-01-11,1.9319360402636927,1.9319360402636925,-2.220446049250313e-16,0.3840243145142439,0.5294237988878776,1.0184879268615712,1.9319360402636927,0.0
2012-01-12,0.2012073113420776,0.20120731134207742,-1.6653345369377348e-16,-0.6008897941646297,-0.2252381197058103,1.0273352252125176,0.2012073113420776,0.0
2012-01-13,-0.2012073113420776,-0.2012073113420778,-2.220446049250313e-16,-0.5418427245248587,-0.6229592421513941,0.9635946553341752,-0.2012073113420776,0.0
2012-01-16,0.5022612266292192,0.5022612266292192,0.0,0.0631110045365849,-0.4074242854868509,0.8465745075794853,0.5022612266292192,0.0
2012-01-18,1.6233584917396904,1.62335849173969,-4.440892098500626e-16,0.8704617346824233,0.0353727523260478,0.7175240047312191,1.6233584917396902,-2.220446049250313e-16
2012-01-19,-0.1644466741252515,-0.1644466741252515,0.0,-1.1135002203885986,0.3203755220138278,0.6286780242495195,-0.16444667412525138,1.1102230246251565e-16
2012-01-20,0.8717650988357306,0.8717650988357305,-1.1102230246251565e-16,0.0562756956709822,0.2034437367500998,0.6120456664146485,0.8717650988357305,-1.1102230246251565e-16
2012-01-23,1.823640812670391,1.823640812670391,0.0,1.278862673228717,-0.0978564454390448,0.6426345848807187,1.823640812670391,0.0
2012-01-24,-0.9982372378988912,-0.9982372378988912,0.0,-1.4691027169140431,-0.2003504227951135,0.6712159018102658,-0.9982372378988907,4.440892098500626e-16
2012-01-25,2.208443091029455,2.208443091029455,0.0,1.517813979993397,0.0291986942753187,0.6614304167607393,2.208443091029455,0.0
