date,original,emd_reconstructed,emd_error,silver_futures_STC,silver_futures_MTC,silver_futures_LTC,scale_reconstructed,scale_error
2012-01-04,-1.6192891615337768,-1.6192891615337774,-6.661338147750939e-16,-0.6923951861058921,-1.4737164255198731,0.5468224500919879,-1.6192891615337772,-4.440892098500626e-16
2012-01-05,0.6815911852639189,0.6815911852639189,0.0,1.8389777480023723,-1.6764567743076144,0.5190702115691609,0.6815911852639188,-1.1102230246251565e-16
2012-01-06,-2.114637516073614,-2.114637516073614,0.0,-1.7076249011767624,-0.9403395943940076,0.5333269794971551,-2.114637516073615,-8.881784197001252e-16
2012-01-09,0.3445578976563279,0.34455789765632794,5.551115123125783e-17,-0.7904874443525844,0.5711397687988923,0.56390557321002,0.3445578976563278,-5.551115123125783e-17
2012-01-10,3.5261430827087104,3.5261430827087104,0.0,1.361859927559283,1.5875453214684454,0.5767378336809822,3.526143082708711,4.440892098500626e-16
2012-01-11,0.2512353720777405,0.25123537207774055,5.551115123125783e-17,-1.1708551788101609,0.8698024590726063,0.5522880918152948,0.25123537207774027,-2.220446049250313e-16
2012-01-12,0.779821994325891,0.7798219943258912,1.1102230246251565e-16,1.104070440777009,-0.853399084697428,0.52915063824631,0.779821994325891,0.0
2012-01-13,-2.0186448124300598,-2.0186448124300593,4.440892098500626e-16,-1.361556365278023,-1.2159897676295923,0.5589013204775558,-2.0186448124300598,0.0
2012-01-16,2.0551538820202886,2.055153882020288,-4.440892098500626e-16,1.6208854616555728,-0.2420905280782283,0.6763589484429439,2.055153882020288,-4.440892098500626e-16
2012-01-18,1.344823985816079,1.3448239858160795,4.440892098500626e-16,-0.064716202291263,0.5378024783409487,0.8717377097663938,1.3448239858160795,4.440892098500626e-16
2012-01-19,-0.1113804740710211,-0.11138047407102121,-1.1102230246251565e-16,-1.9059707598769824,0.6784141666090853,1.1161761191968758,-0.11138047407102136,-2.636779683484747e-16
2012-01-20,3.7506004154744583,3.7506004154744583,0.0,2.1621621823416124,0.2341424459438001,1.354295787189046,3.7506004154744583,0.0
2012-01-23,1.8610279856667853,1.8610279856667855,2.220446049250313e-16,0.5551411212155706,-0.2028677210880551,1.50875458553927,1.8610279856667855,2.220446049250313e-16
2012-01-24,-0.9183658598964416,-0.9183658598964416,0.0,-2.1821479964133816,-0.2579118344755744,1.5216939709925144,-0.9183658598964417,-1.1102230246251565e-16
2012-01-25,3.521317483306108,3.5213174833061074,-4.440892098500626e-16,2.035303568628879,0.0935699126921509,1.392444001985078,3.521317483306108,0.0
2012-01-26,1.860546610127312,1.860546610127312,0.0,0.4566111813258287,0.2357601548010621,1.1681752740004212,1.860546610127312,0.0
2012-01-27,0.13919123269579,0.13919123269578998,-2.7755575615628914e-17,-0.8364978727652995,0.0708253926682929,0.9048637127927968,0.13919123269579015,1.3877787807814457e-16
2012-01-30,-0.7813816365453974,-0.7813816365453975,-1.1102230246251565e-16,-1.2794207098357786,-0.1559440824037945,0.6539831556941755,-0.7813816365453976,-2.220446049250313e-16
2012-01-31,-0.793548011279599,-0.793548011279599,0.0,-1.106974684279421,-0.1411508546661821,0.4545775276660043,-0.793548011279599,0.0
2012-02-01,1.6252277390373493,1.6252277390373495,2.220446049250313e-16,1.3506360749263773,-0.0406290940271262,0.3152207581380984,1.6252277390373495,2.220446049250313e-16
2012-02-02,1.0826500971691466,1.0826500971691466,0.0,0.8444321337499286,0.0193887059811373,0.2188292574380806,1.0826500971691466,0.0
2012-02-03,-1.2543595360070103,-1.2543595360070106,-2.220446049250313e-16,-1.44920123246857,0.0552987474395574,0.1395429490220021,-1.2543595360070103,0.0
2012-02-06,0.0029630068595576,0.002963006859557471,-1.2880321809127793e-16,-0.1234465373403141,0.0718629930230698,0.0545465511768018,0.002963006859557492,-1.0798653637955624e-16
2012-02-07,1.306977276237875,1.3069772762378749,-2.220446049250313e-16,1.3427152450180038,0.0117924014633731,-0.0475303702435021,1.3069772762378746,-4.440892098500626e-16
2012-02-08,-1.4433665404202325,-1.4433665404202323,2.220446049250313e-16,-1.155851607052358,-0.1227151684460914,-0.164799764921783,-1.4433665404202323,2.220446049250313e-16
2012-02-09,0.6299838939412883,0.6299838939412882,-1.1102230246251565e-16,0.9299647411794748,-0.011693529868372,-0.2882873173698146,0.6299838939412882,-1.1102230246251565e-16
2012-02-10,-0.9271256113527304,-0.9271256113527305,-1.1102230246251565e-16,-0.712618354305828,0.177784455067092,-0.3922917121139944,-0.9271256113527304,0.0
2012-02-13,0.3505335853188018,0.3505335853188016,-2.220446049250313e-16,0.5991539680065272,0.1898057755819703,-0.4384261582696958,0.35053358531880174,-5.551115123125783e-17
2012-02-14,-1.1152642807422009,-1.115264280742201,-2.220446049250313e-16,-0.7057533967676297,-0.029832842936137,-0.3796780410384342,-1.1152642807422009,0.0
2012-02-15,0.179759171180649,0.17975917118064896,-2.7755575615628914e-17,0.7816258067312797,-0.4282001705095724,-0.1736664650410583,0.17975917118064902,2.7755575615628914e-17
2012-02-16,-0.1138099496890809,-0.11380994968908077,1.249000902703301e-16,0.0642314468863161,-0.3775935586645889,0.1995521620891918,-0.11380994968908098,-8.326672684688674e-17
2012-02-17,-0.4625605219858997,-0.46256052198589975,-5.551115123125783e-17,-1.418733756963367,0.2502588210334886,0.7059144139439787,-0.4625605219858996,1.1102230246251565e-16
2012-02-20,3.586754494722077,3.5867544947220766,-4.440892098500626e-16,1.6186321670932609,0.6744611957645585,1.2936611318642577,3.5867544947220766,-4.440892098500626e-16
2012-02-22,-0.5095886280467088,-0.5095886280467088,0.0,-1.9599122071466104,-0.4144858601344956,1.864809439234397,-0.5095886280467092,-4.440892098500626e-16
2012-02-23,3.730557216925101,3.7305572169251007,-4.440892098500626e-16,2.420851032893265,-0.8710657205937145,2.1807719046255505,3.730557216925101,0.0
