date,original,emd_reconstructed,emd_error,silver_spot_STC,silver_spot_MTC,silver_spot_LTC,scale_reconstructed,scale_error
2012-01-04,-1.868578233405893,-1.868578233405893,0.0,-0.9095661670695304,-1.3655463880295695,0.4065343216932067,-1.8685782334058934,-4.440892098500626e-16
2012-01-05,0.6153865574378248,0.6153865574378248,0.0,1.7420150218290988,-1.4898843375353357,0.3632558731440616,0.6153865574378248,0.0
2012-01-06,-2.0314005471476104,-2.0314005471476104,0.0,-1.644096209885392,-0.7250307856944374,0.3377264484322186,-2.031400547147611,-4.440892098500626e-16
2012-01-09,0.9347480212682502,0.9347480212682503,1.1102230246251565e-16,0.0019279039697075,0.6070270457765929,0.3257930715219496,0.9347480212682501,-1.1102230246251565e-16
2012-01-10,3.054190565023473,3.054190565023473,0.0,1.2910615837765758,1.4414587952400408,0.3216701860068567,3.054190565023473,0.0
2012-01-11,0.2336839654641043,0.23368396546410403,-2.7755575615628914e-16,-0.9876286304529514,0.8944557247399685,0.326856871177087,0.23368396546410414,-1.6653345369377348e-16
2012-01-12,0.83015585504147,0.83015585504147,0.0,0.8512926334337881,-0.3939586942226462,0.3728219158303282,0.8301558550414702,1.1102230246251565e-16
2012-01-13,-1.633641931969354,-1.6336419319693536,4.440892098500626e-16,-0.9904745575630676,-1.142358887973266,0.4991915135669796,-1.6336419319693543,-2.220446049250313e-16
2012-01-16,0.736774933693285,0.7367749336932848,-1.1102230246251565e-16,1.0615808863394092,-1.0589701574899542,0.7341642048438299,0.736774933693285,0.0
2012-01-18,1.851292541821481,1.851292541821481,0.0,1.003727223568415,-0.2146570241362558,1.0622223423893222,1.8512925418214814,4.440892098500626e-16
2012-01-19,0.3270114097897458,0.32701140978974563,-1.6653345369377348e-16,-1.946401651025981,0.8443495004914816,1.4290635603242448,0.3270114097897454,-3.885780586188048e-16
2012-01-20,4.874352346608157,4.874352346608158,8.881784197001252e-16,2.251082910251734,0.8571067458023569,1.766162690554067,4.874352346608157,0.0
2012-01-23,0.5581409838195217,0.5581409838195215,-2.220446049250313e-16,-1.180924967701125,-0.2433273082590106,1.9823932597796572,0.5581409838195215,-2.220446049250313e-16
2012-01-24,-1.0256500167189042,-1.025650016718904,2.220446049250313e-16,-2.2058097765721056,-0.7945190606389665,1.974678820492168,-1.0256500167189042,0.0
2012-01-25,3.8307119783009824,3.830711978300983,4.440892098500626e-16,1.9049438889419612,0.2472237974666966,1.6785442918923248,3.8307119783009824,0.0
2012-01-26,0.5995221793896555,0.5995221793896558,3.3306690738754696e-16,-1.2582104699926475,0.6650041916325562,1.1927284577497472,0.5995221793896559,4.440892098500626e-16
2012-01-27,1.3359260578869048,1.3359260578869048,0.0,1.0015439111944358,-0.3220076501045184,0.6563897967969875,1.3359260578869048,0.0
2012-01-30,-1.2164517306526346,-1.2164517306526346,0.0,-0.8585597466111845,-0.5802106786549526,0.2223186946135022,-1.2164517306526348,-2.220446049250313e-16
