date,original,emd_reconstructed,emd_error,palladium_futures_STC,palladium_futures_MTC,palladium_futures_LTC,scale_reconstructed,scale_error
2012-01-04,-2.266773864093441,-2.2667738640934414,-4.440892098500626e-16,0.4580449906310386,-1.3535180105374038,-1.371300844187076,-2.266773864093441,0.0
2012-01-05,-1.4725523777744165,-1.4725523777744165,0.0,1.7571290605848953,-1.750687263928606,-1.4789941744307058,-1.4725523777744165,0.0
2012-01-06,-3.8683693102034233,-3.868369310203424,-4.440892098500626e-16,-1.7842266745083544,-0.7766277185024839,-1.3075149171925855,-3.8683693102034233,0.0
2012-01-09,0.6310190018612438,0.6310190018612438,0.0,0.7228180075210696,0.8234962187196533,-0.915295224379479,0.6310190018612438,0.0
2012-01-10,2.6893179338182804,2.689317933818281,4.440892098500626e-16,1.429518558538938,1.6472881919843183,-0.3874888167049757,2.6893179338182804,0.0
2012-01-11,1.0464757740908048,1.0464757740908046,-2.220446049250313e-16,0.1138856194732034,0.7396268707871516,0.1929632838304495,1.0464757740908046,-2.220446049250313e-16
2012-01-12,-1.3294948309298782,-1.3294948309298786,-4.440892098500626e-16,-1.2618412667893506,-0.8173141521516989,0.7496605880111709,-1.3294948309298786,-4.440892098500626e-16
2012-01-13,0.7373160706487525,0.7373160706487526,1.1102230246251565e-16,0.9143679368687776,-1.3831216364066417,1.2060697701866163,0.7373160706487523,-2.220446049250313e-16
2012-01-16,0.3121101160338924,0.31211011603389244,5.551115123125783e-17,-1.1162224402301026,-0.0797648919810125,1.5080974482450078,0.3121101160338926,2.220446049250313e-16
2012-01-18,4.046044584126829,4.046044584126829,0.0,1.3065861323912915,1.116130300854307,1.6233281508812298,4.046044584126829,0.0
2012-01-19,1.0271768764723357,1.0271768764723355,-2.220446049250313e-16,-1.2191393043584802,0.710949215900297,1.5353669649305186,1.0271768764723355,-2.220446049250313e-16
2012-01-20,0.4433286409790682,0.4433286409790684,1.6653345369377348e-16,-0.5780388360527708,-0.2566752610232161,1.278042738055055,0.443328640979068,-2.220446049250313e-16
2012-01-23,1.449194651689556,1.4491946516895562,2.220446049250313e-16,1.2814602510064332,-0.7415340788948961,0.9092684795780188,1.449194651689556,0.0
2012-01-24,-0.8611306223888171,-0.8611306223888168,3.3306690738754696e-16,-1.174272584905372,-0.1889499597116811,0.5020919222282361,-0.8611306223888169,2.220446049250313e-16
2012-01-25,1.743723344314052,1.743723344314052,0.0,1.0142763897097091,0.5653355774377373,0.1641113771666057,1.743723344314052,0.0
2012-01-26,-0.404157594016219,-0.404157594016219,0.0,-0.7927685469402422,0.395047754527042,-0.0064368016030188,-0.40415759401621904,-5.551115123125783e-17
2012-01-27,-0.1157742531631811,-0.11577425316318127,-1.6653345369377348e-16,0.1819322029358797,-0.3002243335776001,0.0025178774785391,-0.1157742531631813,-1.942890293094024e-16
2012-01-30,-0.1884195064286054,-0.18841950642860536,2.7755575615628914e-17,0.1819635083305181,-0.5251453221782246,0.1547623074191011,-0.18841950642860542,-2.7755575615628914e-17
2012-01-31,-0.596582344164176,-0.5965823441641757,3.3306690738754696e-16,-0.9356198461208868,-0.0485133473795396,0.3875508493362505,-0.5965823441641759,1.1102230246251565e-16
2012-02-01,1.7935106144805424,1.7935106144805422,-2.220446049250313e-16,0.7660805236800154,0.415786727446756,0.6116433633537712,1.7935106144805426,2.220446049250313e-16
2012-02-02,1.705555840059958,1.7055558400599582,2.220446049250313e-16,0.689581635888618,0.277970537528222,0.738003666643118,1.705555840059958,0.0
2012-02-03,-0.2822468709739567,-0.28224687097395673,-5.551115123125783e-17,-0.7846973851456023,-0.2186764771214899,0.7211269912931355,-0.28224687097395673,-5.551115123125783e-17
2012-02-06,-0.3255718071496716,-0.3255718071496714,2.220446049250313e-16,-0.5388922812724435,-0.3420188669400932,0.5553393410628651,-0.3255718071496716,0.0
2012-02-07,0.4809061602077058,0.4809061602077058,0.0,0.20381525789248,0.0145052593666534,0.2625856429485724,0.4809061602077058,0.0
2012-02-08,0.885023687779718,0.8850236877797181,1.1102230246251565e-16,0.6528765802371018,0.3311792487428045,-0.0990321412001883,0.8850236877797181,1.1102230246251565e-16
2012-02-09,-0.4907125164100634,-0.4907125164100633,1.1102230246251565e-16,-0.2629017489601518,0.2295899936971185,-0.4574007611470301,-0.4907125164100634,0.0
2012-02-10,-1.1734071158939765,-1.1734071158939763,2.220446049250313e-16,-0.3222334419849592,-0.1215898213869408,-0.7295838525220765,-1.1734071158939765,0.0
2012-02-13,-0.742224360859467,-0.7422243608594672,-2.220446049250313e-16,0.3820910989674879,-0.2906494390965883,-0.8336660207303666,-0.742224360859467,0.0
2012-02-14,-1.6321587135741389,-1.6321587135741387,2.220446049250313e-16,-0.8789151074751972,-0.0428051342257326,-0.710438471873209,-1.6321587135741389,0.0
