date,original,emd_reconstructed,emd_error,gold_futures_STC,gold_futures_MTC,gold_futures_LTC,scale_reconstructed,scale_error
2012-01-04,0.7593712576551503,0.75937125765515,-3.3306690738754696e-16,0.3888596986397016,0.058881945665059,0.3116296133503896,0.7593712576551501,-2.220446049250313e-16
2012-01-05,0.4578082729902455,0.45780827299024546,-5.551115123125783e-17,0.1339930358814492,0.0026426216523047,0.3211726154564916,0.4578082729902455,0.0
2012-01-06,-0.2038988626960503,-0.20389886269605031,-2.7755575615628914e-17,-0.2400919552441487,-0.3110502663557132,0.3472433589038115,-0.2038988626960504,-1.1102230246251565e-16
2012-01-09,-0.5395529229432761,-0.5395529229432757,3.3306690738754696e-16,-0.6903466795503356,-0.2118912668068381,0.3626850234138978,-0.5395529229432758,2.220446049250313e-16
2012-01-10,1.4446479173396476,1.4446479173396476,0.0,0.7663706860590122,0.3186848211936735,0.3595924100869621,1.4446479173396478,2.220446049250313e-16
2012-01-11,0.4952472596807311,0.495247259680731,-5.551115123125783e-17,-0.1600302622260962,0.3120760926188893,0.3432014292879379,0.495247259680731,-5.551115123125783e-17
2012-01-12,0.4928066433203426,0.4928066433203427,1.1102230246251565e-16,0.5364099248871376,-0.3667990487864041,0.3231957672196092,0.49280664332034263,5.551115123125783e-17
2012-01-13,-1.03096841182877,-1.03096841182877,0.0,-0.890437131767544,-0.4488802503502406,0.3083489702890145,-1.03096841182877,0.0
2012-01-16,1.5092788929479184,1.509278892947918,-4.440892098500626e-16,0.9843825254520596,0.2245756787268873,0.3003206887689711,1.509278892947918,-4.440892098500626e-16
2012-01-18,0.259387869759653,0.25938786975965306,5.551115123125783e-17,-0.632524789664705,0.5871781224815621,0.3047345369427959,0.25938786975965294,-5.551115123125783e-17
2012-01-19,-0.3258511210507464,-0.32585112105074654,-1.6653345369377348e-16,-1.0067661587704433,0.3521368248497659,0.3287782128699308,-0.32585112105074665,-2.7755575615628914e-16
2012-01-20,0.572549401948752,0.5725494019487521,1.1102230246251565e-16,0.5079493754061243,-0.314196907395199,0.3787969339378267,0.572549401948752,0.0
2012-01-23,0.8557033932979685,0.8557033932979685,0.0,1.076433793564414,-0.6816283364173645,0.4608979361509192,0.8557033932979685,0.0
2012-01-24,-0.8256598299054119,-0.8256598299054124,-5.551115123125783e-16,-1.114375303768793,-0.284116811301245,0.5728322851646257,-0.8256598299054123,-4.440892098500626e-16
2012-01-25,2.1162294828603656,2.116229482860366,4.440892098500626e-16,0.9932906034598016,0.4443629532616413,0.678575926138923,2.1162294828603656,0.0
2012-01-26,1.5524999574701326,1.5524999574701324,-2.220446049250313e-16,0.1810133384443937,0.6366754041096911,0.7348112149160477,1.5524999574701326,0.0
2012-01-27,0.3180204478559822,0.31802044785598205,-1.6653345369377348e-16,-0.7651264344307682,0.3717687251888613,0.711378157097889,0.31802044785598205,-1.6653345369377348e-16
2012-01-30,0.1269255348383069,0.12692553483830676,-1.3877787807814457e-16,-0.5009081191774023,0.0135658679323724,0.6142677860833368,0.12692553483830687,-2.7755575615628914e-17
2012-01-31,0.3453439601197594,0.3453439601197595,1.1102230246251565e-16,0.0485726651383827,-0.1689910801182,0.4657623750995767,0.34534396011975943,5.551115123125783e-17
2012-02-01,0.5215060961218043,0.5215060961218043,0.0,0.4882273396432207,-0.2713188830961026,0.3045976395746861,0.5215060961218042,-1.1102230246251565e-16
2012-02-02,0.5585969837257565,0.5585969837257565,0.0,0.7817159607022472,-0.3877837822492354,0.1646648052727446,0.5585969837257565,0.0
2012-02-03,-1.0858490504872087,-1.0858490504872085,2.220446049250313e-16,-0.8539443672303867,-0.2946082980852736,0.0627036148284519,-1.0858490504872085,2.220446049250313e-16
2012-02-06,-0.888843436954545,-0.8888434369545452,-1.1102230246251565e-16,-0.9441262493034606,0.0599289377384673,-0.0046461253895517,-0.8888434369545449,1.1102230246251565e-16
2012-02-07,1.353200621857642,1.3532006218576416,-4.440892098500626e-16,1.079890282215637,0.3286757901194697,-0.0553654504774648,1.353200621857642,0.0
2012-02-08,-0.9828512604129536,-0.9828512604129539,-3.3306690738754696e-16,-1.005923567891227,0.1305151598058446,-0.1074428523275714,-0.9828512604129539,-3.3306690738754696e-16
2012-02-09,0.570195929311268,0.5701959293112677,-2.220446049250313e-16,0.7919955589645244,-0.0562125651337739,-0.1655870645194827,0.5701959293112678,-1.1102230246251565e-16
2012-02-10,-0.9173582290324944,-0.9173582290324949,-4.440892098500626e-16,-0.5465095919819315,-0.1568229930684952,-0.2140256439820679,-0.9173582290324946,-2.220446049250313e-16
2012-02-13,-0.0231870617234619,-0.023187061723462108,-2.0816681711721685e-16,0.3663552326270287,-0.1640539589973651,-0.2254883353531254,-0.023187061723461827,7.28583859910259e-17
2012-02-14,-0.4182891127603838,-0.4182891127603837,5.551115123125783e-17,-0.3997909730511601,0.1595969180694888,-0.1780950577787124,-0.4182891127603837,5.551115123125783e-17
2012-02-15,0.603635241696665,0.6036352416966647,-3.3306690738754696e-16,0.4744727864563842,0.1684373716248399,-0.0392749163845591,0.603635241696665,0.0
2012-02-16,0.0173585997831793,0.017358599783179315,1.3877787807814457e-17,-0.0390159539208384,-0.1653980307179686,0.2217725844219863,0.0173585997831793,0.0
2012-02-17,-0.1447471520420684,-0.1447471520420683,8.326672684688674e-17,-0.5320105573544882,-0.206857857094035,0.5941212624064548,-0.14474715204206845,-5.551115123125783e-17
2012-02-20,1.871251937668017,1.8712519376680172,2.220446049250313e-16,0.6216718204663523,0.2768061295458652,0.9727739876557996,1.871251937668017,0.0
2012-02-22,0.7252567344513849,0.7252567344513848,-1.1102230246251565e-16,-0.4810903731297717,0.0363342151041012,1.1700128924770552,0.7252567344513847,-2.220446049250313e-16
2012-02-23,0.8432701196287695,0.8432701196287697,2.220446049250313e-16,0.2737445293901214,-0.4255649924110321,0.99509058264968,0.8432701196287693,-2.220446049250313e-16
2012-02-24,-0.5557597036891515,-0.5557597036891511,4.440892098500626e-16,-1.255547892601426,0.3213620293260003,0.3784261595862744,-0.5557597036891515,0.0
2012-02-27,-0.084476112364662,-0.08447611236466152,4.85722573273506e-16,-0.2927704883070873,0.6412141397819942,-0.4329197638395687,-0.08447611236466185,1.5265566588595902e-16
2012-02-28,0.7577282065525104,0.7577282065525102,-2.220446049250313e-16,1.934816727752377,-0.0235949193526452,-1.1534936018472215,0.7577282065525102,-2.220446049250313e-16
2012-02-29,-4.406804977641965,-4.406804977641967,-1.7763568394002505e-15,-2.010416924733085,-0.8599404037462368,-1.536447649162644,-4.406804977641966,-8.881784197001252e-16
2012-03-01,0.6349227678658309,0.6349227678658309,0.0,1.6751208615373974,0.3838015291511638,-1.4239996228227303,0.6349227678658307,-2.220446049250313e-16
2012-03-02,-0.7226138669930826,-0.7226138669930828,-2.220446049250313e-16,-0.8121406370007846,1.0736924785602548,-0.9841657085525528,-0.7226138669930826,0.0
2012-03-05,-0.3456663370940305,-0.3456663370940303,2.220446049250313e-16,0.6651114967040934,-0.5526386954047899,-0.4581391383933338,-0.34566633709403033,1.6653345369377348e-16
2012-03-06,-1.8839419752570308,-1.8839419752570312,-4.440892098500626e-16,-0.659384111060282,-1.1728138521089977,-0.0517440120877513,-1.883941975257031,-2.220446049250313e-16
2012-03-07,0.7032210147640328,0.7032210147640333,5.551115123125783e-16,0.5364797272050288,0.074847184330763,0.0918941032282411,0.7032210147640329,1.1102230246251565e-16
2012-03-08,0.8750721009001872,0.8750721009001873,1.1102230246251565e-16,-0.243827066973308,1.105728413576113,0.0131707542973821,0.875072100900187,-1.1102230246251565e-16
2012-03-09,0.7506926344975184,0.7506926344975183,-1.1102230246251565e-16,-0.2384553972563701,1.1885497419206918,-0.1994017101668033,0.7506926344975184,0.0
