date,original,emd_reconstructed,emd_error,palladium_spot_STC,palladium_spot_MTC,palladium_spot_LTC,scale_reconstructed,scale_error
2012-01-04,-1.7185834473151471,-1.7185834473151471,0.0,0.776611962586016,-0.966468482225998,-1.528726927675165,-1.718583447315147,2.220446049250313e-16
2012-01-05,-1.7486359682169272,-1.7486359682169268,4.440892098500626e-16,1.5136945244352775,-1.6269263768095648,-1.63540411584264,-1.7486359682169272,0.0
2012-01-06,-3.99893346136988,-3.99893346136988,0.0,-1.771933015136728,-0.810960631642275,-1.416039814590877,-3.99893346136988,0.0
2012-01-09,0.4884014592424712,0.488401459242471,-1.6653345369377348e-16,0.7089413780753034,0.7257293700379757,-0.9462692888708076,0.48840145924247136,1.6653345369377348e-16
2012-01-10,2.8813517904746178,2.8813517904746178,0.0,1.6570986170908557,1.5582081849333094,-0.3339550115495471,2.881351790474618,4.440892098500626e-16
2012-01-11,1.2544264845856468,1.254426484585647,2.220446049250313e-16,0.2170344582874368,0.720987952470613,0.3164040738275973,1.2544264845856472,4.440892098500626e-16
2012-01-12,-1.0967599166462172,-1.0967599166462174,-2.220446049250313e-16,-1.2333321631261938,-0.7752582087055938,0.9118304551855706,-1.0967599166462167,4.440892098500626e-16
2012-01-13,0.3930822671437184,0.3930822671437184,0.0,0.4145106418339507,-1.3801691265923404,1.3587407519021075,0.39308226714371786,-5.551115123125783e-16
2012-01-16,0.2742411121309906,0.27424111213099056,-5.551115123125783e-17,-1.1221765793578868,-0.2011043463334998,1.5975220378223771,0.27424111213099045,-1.6653345369377348e-16
2012-01-18,4.138521616285473,4.138521616285473,0.0,1.4141668675708925,1.0924345977753922,1.631920150939188,4.138521616285473,0.0
2012-01-19,1.379332213233564,1.3793322132335635,-4.440892098500626e-16,-1.1050098514664597,0.997806515371894,1.4865355493281291,1.3793322132335635,-4.440892098500626e-16
2012-01-20,-0.0740740774610948,-0.0740740774610943,4.996003610813204e-16,-1.278207297018758,-0.0087688857349541,1.2129021052926177,-0.0740740774610944,4.0245584642661925e-16
2012-01-23,1.5806247104254822,1.5806247104254825,2.220446049250313e-16,1.6182889691082587,-0.912208076033781,0.8745438173510047,1.5806247104254825,2.220446049250313e-16
2012-01-24,-1.4695341602115164,-1.4695341602115164,0.0,-1.5386976333925573,-0.4693471574842197,0.5385106306652605,-1.4695341602115164,0.0
2012-01-25,2.413279821741554,2.4132798217415536,-4.440892098500626e-16,1.4645504749164209,0.6704700239568977,0.2782593228682354,2.413279821741554,0.0
2012-01-26,-0.180799181414315,-0.18079918141431503,-2.7755575615628914e-17,-0.9469199574981556,0.6184963900137357,0.1476243860701048,-0.1807991814143151,-1.1102230246251565e-16
2012-01-27,-0.4716134262799265,-0.4716134262799263,1.6653345369377348e-16,-0.3390758967190083,-0.2760292878545206,0.1434917582936024,-0.47161342627992653,-5.551115123125783e-17
2012-01-30,-0.2548699723013747,-0.25486997230137476,-5.551115123125783e-17,0.1643486458295278,-0.6630740469731248,0.2438554288422222,-0.25486997230137476,-5.551115123125783e-17
2012-01-31,-0.3652305009535617,-0.36523050095356174,-5.551115123125783e-17,-0.7108763595767156,-0.0696946792607734,0.4153405378839273,-0.36523050095356174,-5.551115123125783e-17
2012-02-01,1.7051020756614577,1.7051020756614579,2.220446049250313e-16,0.5979942023279965,0.5193311748675296,0.587776698465932,1.705102075661458,4.440892098500626e-16
2012-02-02,1.464050431731323,1.4640504317313225,-4.440892098500626e-16,0.4701860724504796,0.3076848252791564,0.6861795340016864,1.4640504317313225,-4.440892098500626e-16
2012-02-03,-0.3195458071440171,-0.319545807144017,1.1102230246251565e-16,-0.7102419358438851,-0.2747323856460246,0.6654285143458925,-0.31954580714401715,-5.551115123125783e-17
2012-02-06,0.071098474377873,0.07109847437787312,1.1102230246251565e-16,-0.0883340969265263,-0.3501596996448574,0.5095922709492567,0.07109847437787309,8.326672684688674e-17
2012-02-07,0.354736093879815,0.3547360938798149,-5.551115123125783e-17,0.0262774521277374,0.0913334626107168,0.2371251791413607,0.35473609387981486,-1.1102230246251565e-16
2012-02-08,0.7760180036664899,0.7760180036664901,2.220446049250313e-16,0.5064214138097441,0.3659600243192791,-0.0963634344625332,0.7760180036664901,2.220446049250313e-16
2012-02-09,-0.5991207348229999,-0.5991207348229997,2.220446049250313e-16,-0.3302585649164799,0.1559077098197837,-0.4247698797263037,-0.5991207348229999,0.0
2012-02-10,-0.8876323147086751,-0.8876323147086748,3.3306690738754696e-16,-0.0192107457299077,-0.2007499731997877,-0.6676715957789794,-0.8876323147086748,3.3306690738754696e-16
2012-02-13,-0.8955818411976679,-0.8955818411976679,0.0,0.1058112021587944,-0.2606045501394741,-0.7407884932169884,-0.895581841197668,-1.1102230246251565e-16
2012-02-14,-1.449826047942615,-1.4498260479426153,-2.220446049250313e-16,-0.8458148172589631,-0.0209248315848344,-0.5830863990988175,-1.449826047942615,0.0
2012-02-15,-0.6593430479831852,-0.6593430479831852,0.0,-0.5902032431842622,0.1359182433884645,-0.2050580481873876,-0.6593430479831853,-1.1102230246251565e-16
2012-02-16,2.0011582843449283,2.0011582843449287,4.440892098500626e-16,1.7559786469345149,-0.0721284070495771,0.3173080444599906,2.0011582843449283,0.0
2012-02-17,-1.487960677061384,-1.4879606770613838,2.220446049250313e-16,-2.0067161306768737,-0.3161157649971661,0.8348712186126559,-1.4879606770613838,2.220446049250313e-16
2012-02-20,1.5599808458207851,1.5599808458207853,2.220446049250313e-16,0.3079261806985047,0.073913740083364,1.1781409250389163,1.559980845820785,-2.220446049250313e-16
2012-02-22,3.7100174324113055,3.7100174324113055,0.0,2.0637621292973654,0.4160919928003384,1.2301633103136025,3.7100174324113064,8.881784197001252e-16
2012-02-23,-0.7310737522006505,-0.7310737522006506,-1.1102230246251565e-16,-1.68189870924394,-0.0093633620107064,0.9601883190539956,-0.7310737522006506,-1.1102230246251565e-16
