date,original,emd_reconstructed,emd_error,platinum_futures_STC,platinum_futures_MTC,platinum_futures_LTC,scale_reconstructed,scale_error
2012-01-04,-0.7092352203067698,-0.7092352203067698,0.0,-0.1874731306524537,-0.8948246854894117,0.3730625958350959,-0.7092352203067696,2.220446049250313e-16
2012-01-05,-0.3371618408403165,-0.33716184084031675,-2.7755575615628914e-16,0.4107752243269848,-1.10616234464291,0.3582252794756086,-0.3371618408403166,-1.1102230246251565e-16
2012-01-06,-1.0396868531001855,-1.0396868531001855,0.0,-1.0653115281376824,-0.4434677741465265,0.4690924491840234,-1.0396868531001855,0.0
2012-01-09,1.383860824929961,1.3838608249299609,-2.220446049250313e-16,0.2525998174057475,0.4790599970203697,0.652201010503844,1.3838608249299613,2.220446049250313e-16
2012-01-10,2.830915736255424,2.830915736255424,0.0,1.0148899462914045,0.980609138990328,0.8354166509736912,2.830915736255424,0.0
2012-01-11,2.187739993570137,2.187739993570137,0.0,0.5821504049050485,0.6470232582082704,0.9585663304568184,2.1877399935701374,4.440892098500626e-16
2012-01-12,-0.0400200105390879,-0.040020010539087915,-1.3877787807814457e-17,-0.958189513817525,-0.0897150749303972,1.0078845782088344,-0.04002001053908777,1.3183898417423734e-16
2012-01-13,-0.3675983286585804,-0.36759832865858044,-5.551115123125783e-17,-0.780846532509187,-0.5713294181903585,0.9845776220409652,-0.36759832865858044,-5.551115123125783e-17
2012-01-16,0.5542215040947873,0.554221504094787,-3.3306690738754696e-16,0.1734420332546578,-0.5181046998728538,0.8988841707129833,0.5542215040947873,0.0
2012-01-18,1.7295872947713065,1.7295872947713065,0.0,1.068742897669909,-0.1230233503433013,0.7838677474446987,1.7295872947713065,0.0
2012-01-19,-0.2096505501417489,-0.20965055014174896,-5.551115123125783e-17,-1.1724231956202784,0.280889166902407,0.6818834785761225,-0.20965055014174894,-2.7755575615628914e-17
2012-01-20,0.8587387269312075,0.8587387269312076,1.1102230246251565e-16,0.0015635786417617,0.2321485343001245,0.6250266139893212,0.8587387269312075,0.0
2012-01-23,1.979752738249552,1.9797527382495523,4.440892098500626e-16,1.445911208078833,-0.0685767246140787,0.6024182547847982,1.9797527382495526,6.661338147750939e-16
2012-01-24,-1.1476691975146558,-1.1476691975146556,2.220446049250313e-16,-1.5378884581020669,-0.1981631832837151,0.5883824438711266,-1.1476691975146553,4.440892098500626e-16
2012-01-25,2.099362451001596,2.099362451001595,-8.881784197001252e-16,1.471990134731454,0.0635763967110645,0.5637959195590769,2.0993624510015954,-4.440892098500626e-16
2012-01-26,1.6377638296390271,1.637763829639027,-2.220446049250313e-16,0.8925448390242219,0.2246269586795984,0.5205920319352063,1.6377638296390264,-6.661338147750939e-16
2012-01-27,0.915168395721988,0.9151683957219879,-1.1102230246251565e-16,0.4025106974330962,0.0472388311001259,0.4654188671887658,0.9151683957219878,-2.220446049250313e-16
2012-01-30,-0.7289832739803437,-0.7289832739803436,1.1102230246251565e-16,-0.9783561216983347,-0.1720205991756837,0.4213934468936749,-0.7289832739803437,0.0
2012-01-31,-1.1882068970313853,-1.1882068970313853,0.0,-1.370508286706437,-0.221503269025163,0.4038046587002147,-1.1882068970313855,-2.220446049250313e-16
2012-02-01,1.6922667195908403,1.6922667195908403,0.0,1.3808783321698608,-0.0951850786841879,0.4065734661051678,1.6922667195908407,4.440892098500626e-16
2012-02-02,0.575164984296439,0.5751649842964387,-3.3306690738754696e-16,0.1267433423019877,0.0332731809417017,0.4151484610527495,0.5751649842964389,-1.1102230246251565e-16
2012-02-03,-0.3040869758322628,-0.3040869758322632,-3.885780586188048e-16,-0.8520151781682945,0.1465052832678582,0.4014229190681734,-0.30408697583226296,-1.6653345369377348e-16
2012-02-06,-0.0861724116968609,-0.08617241169686116,-2.498001805406602e-16,-0.7819244440441582,0.3554258218116689,0.3403262105356283,-0.08617241169686102,-1.1102230246251565e-16
2012-02-07,1.5459186032662942,1.5459186032662942,0.0,0.7606036684846238,0.554309891232032,0.2310050435496382,1.5459186032662942,0.0
2012-02-08,0.9834760094842744,0.9834760094842743,-1.1102230246251565e-16,0.3852800291088593,0.5030772916195766,0.0951186887558384,0.9834760094842743,-1.1102230246251565e-16
2012-02-09,-0.3337796847234564,-0.3337796847234563,1.1102230246251565e-16,-0.5198854487887025,0.214173822342482,-0.028068058277236,-0.3337796847234565,-5.551115123125783e-17
2012-02-10,0.1053661571102537,0.10536615711025368,-1.3877787807814457e-17,0.3601837518750974,-0.1584718473431468,-0.0963457474216969,0.1053661571102537,0.0
2012-02-13,-0.7671899414863681,-0.7671899414863685,-4.440892098500626e-16,-0.1792968691848359,-0.5207200944477027,-0.0671729778538296,-0.7671899414863682,-1.1102230246251565e-16
2012-02-14,-0.901538101398902,-0.9015381013989018,2.220446049250313e-16,-0.1779032304555596,-0.8219762085502658,0.0983413376069236,-0.9015381013989019,1.1102230246251565e-16
2012-02-15,0.045882083851545,0.04588208385154482,-1.8041124150158794e-16,0.6120250703622859,-0.9824760742562264,0.4163330877454856,0.04588208385154513,1.3183898417423734e-16
2012-02-16,-0.2664096013234918,-0.2664096013234919,-1.1102230246251565e-16,-0.1568805726534742,-0.9541240298273524,0.8445950011573349,-0.2664096013234918,0.0
2012-02-17,0.3031001172367986,0.30310011723679836,-2.220446049250313e-16,-0.4296909600576534,-0.5553913453717242,1.2881824226661762,0.30310011723679864,5.551115123125783e-17
2012-02-20,0.7249277886175243,0.7249277886175243,0.0,-1.414301398634005,0.5131459332961166,1.626083253955413,0.7249277886175247,4.440892098500626e-16
2012-02-22,4.611298012404852,4.611298012404851,-8.881784197001252e-16,1.7461346499891572,1.1322566205478004,1.732906741867893,4.611298012404851,-8.881784197001252e-16
2012-02-23,-0.03478361726712,-0.03478361726711999,1.3877787807814457e-17,-1.8187523996317616,0.2610797218808305,1.5228890604838112,-0.03478361726711987,1.3183898417423734e-16
2012-02-24,-0.6194311170314215,-0.6194311170314218,-3.3306690738754696e-16,-1.0013102085178969,-0.6870771574911616,1.068956248977637,-0.6194311170314215,0.0
2012-02-27,-0.549934106952854,-0.5499341069528542,-1.1102230246251565e-16,-0.2098286683851932,-0.8253009912504001,0.4851955526827392,-0.549934106952854,0.0
2012-02-28,1.1432695687627614,1.143269568762761,-4.440892098500626e-16,1.8772616154651207,-0.6215988679584195,-0.1123931787439402,1.143269568762761,-4.440892098500626e-16
2012-02-29,-2.695200685398458,-2.6952006853984583,-4.440892098500626e-16,-2.0303878094656334,-0.0425307814194652,-0.6222820945133597,-2.6952006853984583,-4.440892098500626e-16
2012-03-01,1.6164415724987613,1.6164415724987617,4.440892098500626e-16,2.0902648405785085,0.475254633243189,-0.9490779013229362,1.6164415724987613,0.0
2012-03-02,-0.2994453695135846,-0.29944536951358447,1.1102230246251565e-16,0.3432367265870085,0.3862471457706701,-1.0289292418712632,-0.2994453695135846,0.0
2012-03-05,-1.9535698324157915,-1.9535698324157909,6.661338147750939e-16,-1.0025500544632877,-0.0632481932317602,-0.8877715847207434,-1.9535698324157913,2.220446049250313e-16
2012-03-06,-2.9544111457807887,-2.9544111457807887,0.0,-2.026918010869779,-0.3274027575230612,-0.6000903773879487,-2.954411145780789,-4.440892098500626e-16
2012-03-07,0.93132579292865,0.9313257929286503,2.220446049250313e-16,1.2900026037778125,-0.1050114331981854,-0.2536653776509771,0.9313257929286499,-1.1102230246251565e-16
2012-03-08,1.8250120009773771,1.8250120009773776,4.440892098500626e-16,1.546168040079546,0.2142509893459601,0.0645929715518713,1.8250120009773774,2.220446049250313e-16
2012-03-09,1.298312546712932,1.2983125467129326,6.661338147750939e-16,0.7876903063807583,0.2340636578831211,0.2765585824490529,1.2983125467129322,2.220446049250313e-16
2012-03-12,0.6384698464669825,0.638469846466983,5.551115123125783e-16,0.3353229521024632,-0.0320986130468993,0.3352455074114187,0.6384698464669826,1.1102230246251565e-16
2012-03-13,-0.2389487397381096,-0.23894873973810932,2.7755575615628914e-16,-0.2205183803829218,-0.2684743995592185,0.2500440402040307,-0.2389487397381096,0.0
