date,original,STC,MTC,LTC,hierarchical_reconstructed,hierarchical_error
2015-01-27,0.128369722377819,-0.1537030394982842,0.29860382573355937,-0.01653106385745613,0.12836972237781905,5.551115123125783e-17
2015-01-28,1.5277190823235642,1.2424161417244877,0.30239903416094477,-0.017096093561868426,1.527719082323564,-2.220446049250313e-16
2015-01-29,-2.6890224560896847,-2.9320176195689505,0.2607351165909925,-0.017739953111726377,-2.6890224560896843,4.440892098500626e-16
2015-01-30,-0.0973867955559981,-0.2594836812476867,0.1805580660927597,-0.01846118040107109,-0.0973867955559981,0.0
2015-02-02,1.8343233545797588,1.7734340844565684,0.08014754888692936,-0.019258278763739013,1.8343233545797588,0.0
2015-02-03,-0.0637958554332129,-0.025623916553259463,-0.018042236116174802,-0.02012970276377864,-0.06379585543321291,-1.3877787807814457e-17
2015-02-04,0.7945377886119154,0.9086621402278025,-0.0930505274634002,-0.021073824152486872,0.7945377886119154,0.0
2015-02-05,0.4737100284269324,0.6280272293690689,-0.13222825772288563,-0.022088943219250853,0.4737100284269324,0.0
2015-02-06,-1.3320843975661134,-1.1743478945740868,-0.1345632064314905,-0.023173296560536013,-1.3320843975661134,0.0
2015-02-09,-0.7049051937413786,-0.5765599083554489,-0.10402023746156702,-0.0243250479243627,-0.7049051937413787,-1.1102230246251565e-16
2015-02-10,-1.1968443042794874,-1.1245540002960672,-0.0467480059556097,-0.025542298027810544,-1.1968443042794876,-2.220446049250313e-16
2015-02-11,-0.4893175641477398,-0.4932217724445609,0.030727309020521565,-0.02682310072370049,-0.4893175641477398,0.0
2015-02-12,1.008630642957442,0.9144235380894028,0.12237257606844423,-0.02816547120040504,1.0086306429574419,-2.220446049250313e-16
2015-02-13,2.1141082056732152,1.9211247540793581,0.22255081969956067,-0.02956736810570397,2.114108205673215,-4.440892098500626e-16
2015-02-16,-0.2856691357091101,-0.5801251633277347,0.3254827573045681,-0.031026729685943555,-0.2856691357091101,0.0
2015-02-18,-1.1830673559469318,-1.5757867639232601,0.4252608636721514,-0.032541455695822855,-1.1830673559469316,2.220446049250313e-16
2015-02-19,0.9284523234224018,0.4465468408956369,0.5160149210808663,-0.03410943855410166,0.9284523234224016,-2.220446049250313e-16
2015-02-20,-0.9606221805439574,-1.5169203000137415,0.5920266666745087,-0.035728547204724626,-0.9606221805439574,0.0
2015-02-23,1.024336741476084,0.4141170910309613,0.6476162931315376,-0.037396642686414634,1.0243367414760842,2.220446049250313e-16
2015-02-24,1.1777505856677806,0.5387343057065235,0.6781278596757677,-0.039111579714510646,1.1777505856677806,0.0
2015-02-25,1.6419910035989638,1.0034952604195886,0.6793669479848709,-0.04087120480549559,1.641991003598964,2.220446049250313e-16
2015-02-26,0.3646819259397915,-0.24037229930214354,0.6477275645748717,-0.042673339332936655,0.3646819259397915,0.0
2015-02-27,1.0067611123829143,0.4688233288957282,0.5824535627216421,-0.044515779234455564,1.0067611123829148,4.440892098500626e-16
2015-03-02,1.4673154786723153,1.0259206221133839,0.48779119139206706,-0.04639633483313577,1.467315478672315,-2.220446049250313e-16
2015-03-03,-0.0867114730247031,-0.40899870296493457,0.37060004719601014,-0.04831281725577871,-0.08671147302470314,-4.163336342344337e-17
2015-03-04,-0.2907908296259087,-0.478876966605511,0.23834915889527675,-0.05026302191567446,-0.2907908296259087,0.0
2015-03-05,-0.153579211138144,-0.20010446383126262,0.09876996213688183,-0.052244709443763186,-0.153579211138144,0.0
2015-03-06,-0.939898825588692,-0.8452468581615399,-0.04039632969383327,-0.05425563773331891,-0.939898825588692,0.0
2015-03-09,0.3573022026071015,0.5853800696057102,-0.1717843057088952,-0.05629356128971345,0.35730220260710155,5.551115123125783e-17
2015-03-10,-2.2465939481354447,-1.8983577659758095,-0.2898799425497672,-0.058356239609867556,-2.246593948135444,4.440892098500626e-16
2015-03-11,-1.758287055786667,-1.306254919349874,-0.3915906926039694,-0.06044144383282375,-1.7582870557866672,-2.220446049250313e-16
2015-03-12,0.1139673417011266,0.6523073060662629,-0.4757929900023868,-0.06254697436274947,0.1139673417011266,0.0
2015-03-13,0.4860660392023597,1.0937118503025172,-0.5429751670962395,-0.06467064400391785,0.4860660392023598,1.1102230246251565e-16
2015-03-16,-1.8687380397620856,-1.2075805756755256,-0.5943472121365382,-0.06681025195002203,-1.8687380397620856,0.0
2015-03-17,-2.087596071543807,-1.3877517050223456,-0.6308807939422316,-0.06896357257923004,-2.0875960715438073,-4.440892098500626e-16
2015-03-18,2.4782090613989283,3.2023809543465154,-0.6530435347412581,-0.07112835820632885,2.4782090613989283,0.0
