,n_obs,max,min,mean,std,skew,kurtosis,jarque_bera,jb_pvalue,adf_stat,adf_pvalue,adf_lags,adf_nobs
gold_futures,3100.0,5.892646976163718,-12.08808482741901,0.034602672240314464,1.1278064041583498,-0.7547512146038532,12.188194839167243,11158.945073743662,0.0,-57.17723939009842,0.0,0.0,3099.0
silver_futures,3100.0,16.87706401429212,-37.64610920316667,0.029986437491006847,2.222143182652848,-1.7385821545980078,36.85582848446962,149119.36083869333,0.0,-14.55768435199187,4.8511946537695134e-27,17.0,3082.0
platinum_futures,3100.0,11.111509561103272,-21.03547312042835,0.010197881411140705,1.8483493137090994,-0.6629286777646249,13.197936978373003,13611.539953976371,0.0,-24.53194557540997,0.0,5.0,3094.0
palladium_futures,3100.0,18.627022924937098,-22.917148834847545,0.025979544963824104,2.445828388638191,-0.6867254782331994,12.592568515148491,12085.918194231584,0.0,-25.075940008050424,0.0,5.0,3094.0
gold_spot,3100.0,5.953571412153735,-10.392029027384098,0.034456821936285166,1.0846680113586427,-0.600229546479309,10.181930679468245,6823.34722802296,0.0,-40.69639151503981,0.0,1.0,3098.0
silver_spot,3100.0,15.22678211980324,-32.89485409271187,0.029926117291219235,2.0927000530127775,-1.9428692467260449,33.988395898582176,125569.57252670823,0.0,-40.55530986857228,0.0,1.0,3098.0
platinum_spot,3100.0,10.238735017841005,-20.281131527275686,0.010090424233892307,1.7365141794822974,-0.800456410866714,13.742874926499931,15184.378952289926,0.0,-14.44221106170234,7.32763851640409e-27,18.0,3081.0
palladium_spot,3100.0,19.6651136868927,-21.99383252112037,0.026052626317569928,2.305547168062472,-0.7684998364982722,13.1918062714586,13673.450601059269,0.0,-23.215450267679,0.0,6.0,3093.0
