target,target_type,model_family,model,feature_set,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,ar_r2_mean,ar_rmse_mean,ar_mae_mean,incremental_r2_vs_ar,rmse_reduction_vs_ar,mae_reduction_vs_ar
tci_same_scale_MTC,ar_residual,AR,AR_Ridge,target_lags,0.9979147865099023,0.0018917385886434398,0.13750922477694838,0.054431066373952786,0.09113135966672398,0.030005296048461038,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,0.0,0.0,0.0
tci_same_scale_MTC,ar_residual,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.21635535983908738,0.08538716617992961,0.12214024660680883,0.049703143964406164,0.07966460932134493,0.02892016860704897,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-0.7815594266708149,0.015368978170139547,0.011466750345379043
tci_same_scale_MTC,ar_residual,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-0.018206202239694564,0.004641461155209654,0.138606859998838,0.05515633805217061,0.09238048915142501,0.03121391274022082,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.0161209887495968,-0.0010976352218896313,-0.001249129484701031
tci_same_scale_MTC,ar_residual,ARX,ARX_RandomForest,arx_external_plus_target_lags,-0.05946489105081754,0.04639202983478497,0.14097818811438032,0.05547632284396594,0.09452897590657337,0.03236499303395865,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.0573796775607198,-0.003468963337431935,-0.0033976162398493964
tci_same_scale_MTC,ar_residual,ARX,ARX_Ridge,arx_external_plus_target_lags,-2.42694916946031,3.0789767325511073,0.21615710485252992,0.06594422376386298,0.1570743530184359,0.05989101882670517,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-3.424863955970212,-0.07864788007558154,-0.06594299335171191
tci_same_scale_MTC,ar_residual,Exog,Exog_ElasticNet,external_only,-0.06329844614991147,0.057971238953254775,0.14084658643417028,0.05414240344044793,0.09538718953932705,0.034057382792049104,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.0612132326598138,-0.003337361657221899,-0.004255829872603076
tci_same_scale_MTC,ar_residual,Exog,Exog_ExtraTrees,external_only,-0.0163871362060443,0.01889162223464508,0.13873106209535002,0.05589450016093297,0.09246759558001662,0.03218305749631811,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.0143019227159467,-0.0012218373184016418,-0.001336235913292641
tci_same_scale_MTC,ar_residual,Exog,Exog_RandomForest,external_only,-0.0533897125883959,0.025735641653933976,0.1407783970741929,0.05571903479099434,0.09399124478098166,0.03222230882038333,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.0513044990982983,-0.0032691722972445214,-0.0028598851142576792
tci_same_scale_MTC,ar_residual,Exog,Exog_Ridge,external_only,-3.148303082274914,4.696803355367903,0.2145415720826296,0.037929644013164024,0.15485239603421205,0.03434169806089408,0.13729765925212065,0.054374422284853445,0.9979147865099023,0.13750922477694838,0.09113135966672398,-4.146217868784817,-0.07703234730568123,-0.06372103636748808
tci_same_scale_MTC,delta20,AR,AR_Ridge,target_lags,0.9972911827437568,0.0014411724418627334,0.11502748860302592,0.03742168545371644,0.07742448919065505,0.020231997249688747,2.2540857035471658,0.4363451645089921,0.9972911827437568,0.11502748860302592,0.07742448919065505,0.0,0.0,0.0
tci_same_scale_MTC,delta20,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9966653682042836,0.0014568679438259362,0.12951552932242397,0.04464901028316517,0.09062194844914999,0.030185745261138052,2.2540857035471658,0.4363451645089921,0.9972911827437568,0.11502748860302592,0.07742448919065505,-0.0006258145394731907,-0.014488040719398049,-0.013197459258494942
tci_same_scale_MTC,delta20,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,0.13828136529040136,0.01351066508834026,2.0917283754869502,0.398659880765563,1.596703213206662,0.16018314927251473,2.2540857035471658,0.4363451645089921,0.9972911827437568,0.11502748860302592,0.07742448919065505,-0.8590098174533555,-1.9767008868839242,-1.519278724016007
tci_same_scale_MTC,delta20,ARX,ARX_RandomForest,arx_external_plus_target_lags,0.21477534471867596,0.040193974618312096,1.9922264745117542,0.34977677082855196,1.477417545848197,0.1237271185005279,2.2540857035471658,0.4363451645089921,0.9972911827437568,0.11502748860302592,0.07742448919065505,-0.7825158380250808,-1.8771989859087284,-1.399993056657542
