target,model_family,model,feature_set,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,ar_r2_mean,ar_rmse_mean,ar_mae_mean,incremental_r2_vs_ar,rmse_reduction_vs_ar,mae_reduction_vs_ar
tci_same_scale_MTC,AR,AR_Ridge,target_lags,0.9979147865099023,0.0018917385886434398,0.13750922477694838,0.054431066373952786,0.09113135966672398,0.030005296048461038,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,0.0,0.0,0.0
tci_same_scale_MTC,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9956823641225347,0.004005077641670718,0.1935499098284449,0.07454593798469226,0.14700176919412702,0.05749646786118038,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-0.0022324223873675386,-0.05604068505149651,-0.05587040952740305
tci_same_scale_MTC,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-0.15912209381667786,0.6526811576002113,3.357078064646595,0.6140746931352173,2.796820112044054,0.7923001397094106,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.1570368803265803,-3.219568839869647,-2.70568875237733
tci_same_scale_MTC,ARX,ARX_RandomForest,arx_external_plus_target_lags,0.07204821968274562,0.5266109542579271,2.951354173895405,0.29647139426073144,2.401049274522994,0.27207501479716373,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-0.9258665668271566,-2.8138449491184567,-2.3099179148562703
tci_same_scale_MTC,ARX,ARX_Ridge,arx_external_plus_target_lags,0.948997171829521,0.06951036420536912,0.5608556651027903,0.43361658023562816,0.4157687628096886,0.313834520601041,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-0.04891761468038125,-0.4233464403258419,-0.32463740314296463
tci_same_scale_MTC,Exog,Exog_ElasticNet,external_only,-5.183217082443869,5.397942914782285,7.291044319230459,2.5819369728113686,6.059149419926309,1.793401685751824,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-6.181131868953771,-7.1535350944535105,-5.968018060259586
tci_same_scale_MTC,Exog,Exog_ExtraTrees,external_only,-0.46679793418972154,0.507034122526205,3.9098370331264083,0.8987487586356868,3.3467130481878784,1.0913873068955136,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.4647127206996238,-3.77232780834946,-3.2555816885211546
tci_same_scale_MTC,Exog,Exog_RandomForest,external_only,-0.7857292289478215,1.0626684969080793,4.164202603904378,0.8906462590323687,3.4804563822762553,1.0465161656764974,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-1.7836440154577238,-4.026693379127429,-3.3893250226095315
tci_same_scale_MTC,Exog,Exog_Ridge,external_only,-6.965988457367828,6.714406194480875,8.236011570636109,2.8101871431278966,6.817416780485568,1.7714717007621867,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-7.963903243877731,-8.09850234585916,-6.7262854208188445
tci_same_scale_MTC,Mean,Mean,mean_baseline,-2.7067663628923637,2.023028874295394,5.928191048133548,1.0014245070081735,5.081354287198015,1.1629786145532608,3.307622845962399,0.9039787911594862,0.9979147865099023,0.13750922477694838,0.09113135966672398,-3.704681149402266,-5.790681823356599,-4.990222927531291
tci_same_scale_STC,AR,AR_Ridge,target_lags,0.9778587045068244,0.01566306916484903,0.33069165076081586,0.17725523853762443,0.18451883174979936,0.08098525800487115,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,0.0,0.0,0.0
tci_same_scale_STC,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.8960596484190001,0.11740294536438253,0.5810781448491018,0.21343171849075038,0.42198417532609617,0.14548128293688206,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-0.08179905608782434,-0.25038649408828595,-0.2374653435762968
tci_same_scale_STC,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-10.298155715042887,16.466463030158963,4.2746959603947134,1.5595773243169955,3.673384192773776,1.8113626314962983,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-11.27601441954971,-3.9440043096338977,-3.4888653610239766
tci_same_scale_STC,ARX,ARX_RandomForest,arx_external_plus_target_lags,-6.462462855154745,9.927651934176644,4.000859311028609,1.6303017190943658,3.447247776837591,1.5487757301225717,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-7.4403215596615695,-3.6701676602677935,-3.2627289450877917
tci_same_scale_STC,ARX,ARX_Ridge,arx_external_plus_target_lags,0.3849095968422283,0.8874838720152699,1.051004523233173,0.2562157193104291,0.8445783648107529,0.2993065602587945,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-0.5929491076645961,-0.7203128724723572,-0.6600595330609536
tci_same_scale_STC,Exog,Exog_ElasticNet,external_only,-57.456837319582014,95.5608620424822,7.418143895228366,1.2939397359022884,6.469858136512137,1.4167866398488247,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-58.43469602408884,-7.08745224446755,-6.285339304762338
tci_same_scale_STC,Exog,Exog_ExtraTrees,external_only,-39.106756216046286,64.65002164848028,6.235140489431824,1.9555692378799416,5.4203944153300085,2.5672014413330815,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-40.08461492055311,-5.904448838671009,-5.235875583580209
