target,mode,group,abs_coef_sum,signed_coef_sum,n_features,r2,rmse,mae,n_nonzero,abs_coef_total_by_target_mode,normalized_abs_coef
tci_same_scale_MTC,arx_external_plus_target_lags,CFTC_GOLD,0.02893458587632082,0.001948661941487814,35,0.9984147605558864,0.17279052945972878,0.1277382090033049,5.0,5.129581139453835,0.005640730712644812
tci_same_scale_MTC,arx_external_plus_target_lags,CFTC_PALLADIUM,0.013832086913322446,-0.01104708240512934,35,0.9984147605558864,0.17279052945972878,0.1277382090033049,2.0,5.129581139453835,0.0026965334083389114
tci_same_scale_MTC,arx_external_plus_target_lags,CFTC_PLATINUM,0.029743802116891253,-0.018446595698667613,35,0.9984147605558864,0.17279052945972878,0.1277382090033049,8.0,5.129581139453835,0.005798485550431937
tci_same_scale_MTC,arx_external_plus_target_lags,CFTC_SILVER,0.009260402029932741,0.008000364194183835,35,0.9984147605558864,0.17279052945972878,0.1277382090033049,3.0,5.129581139453835,0.0018052939953921323
tci_same_scale_MTC,arx_external_plus_target_lags,GPR,0.03083788629775819,-0.0021458792802561285,25,0.9984147605558864,0.1727905294597289,0.1277382090033049,6.0,5.129581139453835,0.0060117747354790085
tci_same_scale_MTC,arx_external_plus_target_lags,INFLATION_GROWTH,0.033526814030793585,-0.025055465227823627,15,0.998414760555887,0.17279052945972892,0.12773820900330496,3.0,5.129581139453835,0.006535974988859092
tci_same_scale_MTC,arx_external_plus_target_lags,OIL,0.02373919192852769,0.005248202768174107,10,0.9984147605558868,0.17279052945972892,0.12773820900330496,6.0,5.129581139453835,0.00462790065760716
tci_same_scale_MTC,arx_external_plus_target_lags,RATE,0.011296420692229428,-0.006278513272230318,20,0.9984147605558867,0.17279052945972892,0.12773820900330493,4.0,5.129581139453835,0.0022022111328630235
tci_same_scale_MTC,arx_external_plus_target_lags,REL_GOLD_PLATINUM,0.008614732828674263,0.008614732828674263,20,0.9984147605558867,0.17279052945972892,0.12773820900330493,2.0,5.129581139453835,0.0016794222753227575
tci_same_scale_MTC,arx_external_plus_target_lags,REL_GOLD_SILVER,0.01583256173384392,0.014421096789456304,20,0.9984147605558867,0.17279052945972892,0.12773820900330493,5.0,5.129581139453835,0.0030865213559190664
tci_same_scale_MTC,arx_external_plus_target_lags,REL_PLATINUM_PALLADIUM,0.015144789373612962,-0.00869459116032734,20,0.9984147605558867,0.17279052945972892,0.12773820900330493,4.0,5.129581139453835,0.002952441722215448
tci_same_scale_MTC,arx_external_plus_target_lags,RISK_STRESS,0.04678657567404118,0.0010797623898098092,15,0.998414760555887,0.17279052945972892,0.12773820900330496,6.0,5.129581139453835,0.009120934907176985
tci_same_scale_MTC,arx_external_plus_target_lags,TCI_AR,4.85464082016663,4.85464082016663,5,0.9984147605558867,0.17279052945972892,0.12773820900330493,4.0,5.129581139453835,0.9464010195350026
tci_same_scale_MTC,arx_external_plus_target_lags,USD,0.0073904697912571754,0.0073904697912571754,10,0.9984147605558868,0.17279052945972892,0.12773820900330496,1.0,5.129581139453835,0.0014407550227471526
tci_same_scale_MTC,external_only,CFTC_GOLD,5.382646332147619,-0.9563078519061247,35,-0.9892144323667009,6.1208720501419185,5.457178739454862,26.0,44.92832305937822,0.11980519114932911
tci_same_scale_MTC,external_only,CFTC_PALLADIUM,4.417693413477453,0.33644048762416934,35,-0.9892144323667009,6.1208720501419185,5.457178739454862,23.0,44.92832305937822,0.09832758297341604
tci_same_scale_MTC,external_only,CFTC_PLATINUM,3.3350010196088467,-0.4174462353604933,35,-0.9892144323667009,6.1208720501419185,5.457178739454862,18.0,44.92832305937822,0.07422936785780405
tci_same_scale_MTC,external_only,CFTC_SILVER,6.086578195742283,2.5471237838939373,35,-0.9892144323667009,6.1208720501419185,5.457178739454862,26.0,44.92832305937822,0.13547307758845423
tci_same_scale_MTC,external_only,GPR,5.442996049378342,-0.974432630478781,25,-0.989214432366701,6.120872050141921,5.457178739454862,15.0,44.92832305937822,0.12114843552439657
tci_same_scale_MTC,external_only,INFLATION_GROWTH,1.880100277849843,0.8740703790533593,15,-0.989214432366701,6.120872050141923,5.4571787394548625,10.0,44.92832305937822,0.04184666040985021
tci_same_scale_MTC,external_only,OIL,1.6895739313616196,0.41941081545338166,10,-0.9892144323667009,6.120872050141921,5.457178739454863,7.0,44.92832305937822,0.037605986965697405
tci_same_scale_MTC,external_only,RATE,1.771557264098927,-1.046527007336733,20,-0.9892144323667009,6.120872050141924,5.4571787394548625,10.0,44.92832305937822,0.039430745317549455
tci_same_scale_MTC,external_only,REL_GOLD_PLATINUM,3.1512817855170883,-0.5669746476925407,20,-0.9892144323667009,6.120872050141924,5.4571787394548625,13.0,44.92832305937822,0.07014020490709807
tci_same_scale_MTC,external_only,REL_GOLD_SILVER,4.466108533424842,2.586688043327359,20,-0.9892144323667009,6.120872050141924,5.4571787394548625,16.0,44.92832305937822,0.09940519096433532
tci_same_scale_MTC,external_only,REL_PLATINUM_PALLADIUM,2.998556003631571,1.6428070428127106,20,-0.9892144323667009,6.120872050141924,5.4571787394548625,15.0,44.92832305937822,0.06674088413379274
tci_same_scale_MTC,external_only,RISK_STRESS,2.801865584701774,0.2702256512851448,15,-0.989214432366701,6.120872050141923,5.4571787394548625,13.0,44.92832305937822,0.06236301277033574
tci_same_scale_MTC,external_only,USD,1.5043646684380252,0.0023378296675794392,10,-0.9892144323667009,6.120872050141921,5.457178739454863,8.0,44.92832305937822,0.03348365943794129
tci_same_scale_STC,arx_external_plus_target_lags,CFTC_GOLD,0.06146162751093509,0.01266221622238619,35,0.967216940508873,0.7226205083862878,0.40885920242484625,6.0,5.776852046308634,0.01063929403388626
tci_same_scale_STC,arx_external_plus_target_lags,CFTC_PALLADIUM,0.10285856339546448,0.032429330538088705,35,0.967216940508873,0.7226205083862878,0.40885920242484625,6.0,5.776852046308634,0.017805296478242045
tci_same_scale_STC,arx_external_plus_target_lags,CFTC_PLATINUM,0.1632733285887773,0.03442213775766584,35,0.967216940508873,0.7226205083862878,0.40885920242484625,11.0,5.776852046308634,0.028263373768263246
tci_same_scale_STC,arx_external_plus_target_lags,CFTC_SILVER,0.15562413157565072,0.04237610666207035,35,0.967216940508873,0.7226205083862878,0.40885920242484625,12.0,5.776852046308634,0.026939262132408843
tci_same_scale_STC,arx_external_plus_target_lags,GPR,0.04096333405851198,-0.04096333405851198,25,0.9672169405088731,0.7226205083862873,0.40885920242484625,3.0,5.776852046308634,0.0070909439483892
tci_same_scale_STC,arx_external_plus_target_lags,INFLATION_GROWTH,0.15982717185727283,0.05158817474932216,15,0.9672169405088731,0.7226205083862874,0.40885920242484625,8.0,5.776852046308634,0.027666827984525102
tci_same_scale_STC,arx_external_plus_target_lags,OIL,0.03207940529063108,-0.02872423569236154,10,0.9672169405088731,0.7226205083862877,0.4088592024248462,4.0,5.776852046308634,0.005553094493934561
tci_same_scale_STC,arx_external_plus_target_lags,RATE,0.1087626464779,0.05372372234389938,20,0.9672169405088731,0.7226205083862873,0.4088592024248462,5.0,5.776852046308634,0.018827320763286387
tci_same_scale_STC,arx_external_plus_target_lags,REL_GOLD_PLATINUM,0.052492221180556985,0.052492221180556985,20,0.9672169405088731,0.7226205083862873,0.4088592024248462,4.0,5.776852046308634,0.009086648015176212
tci_same_scale_STC,arx_external_plus_target_lags,REL_GOLD_SILVER,0.13355742613829086,-0.07138285843100234,20,0.9672169405088731,0.7226205083862873,0.4088592024248462,8.0,5.776852046308634,0.023119412626056966
tci_same_scale_STC,arx_external_plus_target_lags,REL_PLATINUM_PALLADIUM,0.0606457182739706,-0.006819462333322918,20,0.9672169405088731,0.7226205083862873,0.4088592024248462,4.0,5.776852046308634,0.01049805634415075
tci_same_scale_STC,arx_external_plus_target_lags,RISK_STRESS,0.15715776841610016,0.04967202895210789,15,0.9672169405088731,0.7226205083862874,0.40885920242484625,9.0,5.776852046308634,0.027204741813756993
tci_same_scale_STC,arx_external_plus_target_lags,TCI_AR,4.5382492641309256,4.5382492641309256,5,0.9672169405088731,0.7226205083862877,0.40885920242484614,5.0,5.776852046308634,0.7855920885200501
tci_same_scale_STC,arx_external_plus_target_lags,USD,0.009899439413646778,0.009271345886516388,10,0.9672169405088731,0.7226205083862877,0.4088592024248462,3.0,5.776852046308634,0.0017136390778732936
tci_same_scale_STC,external_only,CFTC_GOLD,4.204786135142924,-0.8928553423147759,35,-1.7370221263549364,6.602747602266611,5.443999804603358,25.0,36.96664778732283,0.11374539988948887
tci_same_scale_STC,external_only,CFTC_PALLADIUM,3.949094049749573,0.9525622420601207,35,-1.7370221263549364,6.602747602266611,5.443999804603358,25.0,36.96664778732283,0.10682856807762421
tci_same_scale_STC,external_only,CFTC_PLATINUM,3.3651389125707345,0.19095189775265334,35,-1.7370221263549364,6.602747602266611,5.443999804603358,23.0,36.96664778732283,0.09103175738116995
tci_same_scale_STC,external_only,CFTC_SILVER,4.11811224512399,-0.9980141259489972,35,-1.7370221263549364,6.602747602266611,5.443999804603358,22.0,36.96664778732283,0.11140074882679075
tci_same_scale_STC,external_only,GPR,3.239148662206933,-0.4092314548848908,25,-1.7370221263549361,6.602747602266607,5.4439998046033615,18.0,36.96664778732283,0.087623543277239
tci_same_scale_STC,external_only,INFLATION_GROWTH,4.794512308310982,2.0463612044250277,15,-1.737022126354936,6.6027476022666045,5.443999804603361,13.0,36.96664778732283,0.12969832525510172
