date,tci_same_scale_STC,tci_same_scale_MTC,tci_within_gold,tci_within_silver,tci_within_platinum,tci_within_palladium,tci_same_scale_LTC,tci_same_scale_STC_delta20,tci_same_scale_MTC_delta20,tci_within_gold_delta20,tci_within_silver_delta20,tci_within_platinum_delta20,tci_within_palladium_delta20
2013-03-04,87.49810428276804,78.29435663706485,53.533212175141564,77.57410252656494,92.58662833212702,82.7549078651642,99.99803344952444,,,,,,
2013-03-05,87.59235583783857,78.40758001617259,53.563466072668675,77.91580002269698,92.79988772574477,82.75185429937548,99.99809566269688,,,,,,
2013-03-06,87.3490768001342,78.66249405102201,53.737189989440964,78.24245354008545,92.94360991432241,82.56544181260833,99.99815278623184,,,,,,
2013-03-08,87.21083451352982,79.20785808574061,54.05534416331368,78.85688347224766,93.15505464714263,82.22654208146979,99.99825743948969,,,,,,
2013-03-11,87.13667238351326,79.31723093750018,54.14962873385537,79.06893493644964,93.26831646449034,82.03711599352762,99.99830719784799,,,,,,
2013-03-12,87.14786966828942,79.31421362484916,54.29546572959524,79.2414690162906,93.39539969090464,81.89767193874144,99.9983563676788,,,,,,
2013-03-14,87.03340151435663,79.18187813502523,55.1168499202417,79.68901361135282,93.64353176994324,81.68695468133258,99.99845523483995,,,,,,
2013-03-15,86.96088476873669,79.10292395794367,55.30798498324604,79.85207752420625,93.74974704779196,81.58446789150851,99.99850574819384,,,,,,
2013-03-18,86.97773731851312,79.00853347002405,55.588568605678034,79.95474915439054,93.86601794161595,81.54983548263195,99.99855736496825,,,,,,
2013-03-20,86.98052227213621,78.74409249411536,55.977900420922424,80.03318881487806,94.06744340962635,81.567351927822,99.99866464512922,,,,,,
2013-03-21,87.02402695982508,78.59418737917126,56.14144728443843,80.1951537119388,94.16594644177827,81.52338395035666,99.998720591283,,,,,,
2013-03-22,86.96959994559195,78.4725525031665,56.333344623347365,80.21916602253806,94.25310679434007,81.41229574117864,99.99877823394057,,,,,,
2013-03-25,86.88259197000971,78.39942156423798,56.47089280490289,80.19015772751841,94.32167434109863,81.29935633831468,99.99883765523693,,,,,,
2013-03-26,86.78866518399153,78.3554393791254,56.51421201271646,80.19158815609622,94.40015321985756,81.15941249797059,99.99889887403872,,,,,,
2013-03-27,86.78268456712186,78.28729184073703,56.68757698113975,80.18678172438592,94.48037732294071,81.03417252861577,99.99896180634217,,,,,,
2013-03-28,86.76160353730509,78.13539923631934,56.59107812389053,80.17785253762644,94.55100199656711,80.90607373079764,99.99902623050629,,,,,,
2013-04-01,86.65198154620987,77.89573515812363,56.471752539590256,80.13433334175747,94.64829593337049,80.79465566152221,99.99909176961805,,,,,,
2013-04-02,86.72908216805727,77.67890552950658,56.412963384886474,80.27225059893142,94.70244178657032,80.68286082947611,99.99915789774677,,,,,,
2013-04-03,86.78385119073305,77.59445979402796,56.72917061795884,80.15213266886637,94.76277185091348,80.62677842872641,99.99922396319513,,,,,,
2013-04-05,86.75546645916893,77.21573162941444,58.616239669061066,80.35567538507495,94.82102276142885,80.61851283486344,99.99935290336086,,,,,,
2013-04-08,86.52365610648118,76.69111709619216,57.878811727610454,80.37634195695618,94.84693239142635,80.60147981885811,99.9994142233253,-0.974448176286856,-1.6032395408726927,4.34559955246889,2.8022394303912392,2.2603040592993295,-2.1534280463060895
2013-04-09,86.51582794514856,76.42571374400481,58.01501597298092,80.5460125704918,94.88372704473532,80.61678787903459,99.99947247445421,-1.0765278926900095,-1.9818662721677782,4.451549900312244,2.6302125477948124,2.083839318990556,-2.135066420340891
2013-04-10,86.48019322111506,76.62521850330502,58.691882313864795,80.58245213394888,94.91858858613988,80.62705520567181,99.99952705535358,-0.8688835790191405,-2.0372755477169875,4.9546923244238315,2.3399985938634273,1.9749786718174676,-1.9383866069365183
2013-04-11,86.31500199626629,77.28223128279781,60.47038734324929,80.73259137392631,94.95939803901072,80.74038219710617,99.99957751838804,-0.8958325172635284,-1.9256268029428014,6.415043179935616,1.875707901678652,1.8043433918680876,-1.486159884363616
2013-04-12,85.72869556631106,78.25692926327034,62.28016087286028,80.65527803017403,95.00028583552285,80.80971103667719,99.99962359968386,-1.4079768172021971,-1.060301674229848,8.130532139004906,1.5863430937243947,1.7319693710325055,-1.2274049568504353
2013-04-15,87.7879760604681,79.15165243216849,64.97009930943987,81.34112680255706,95.19999078366509,80.93646601830521,99.99966522294515,0.64010639217868,-0.16256119268066982,10.674633579844631,2.0996577862664623,1.8045910927604467,-0.9612059204362282
