target,high_state,model_family,model,feature_set,auc_mean,auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,accuracy_mean,accuracy_std,positive_rate_test_mean,positive_rate_test_std,positive_rate_pred_mean,positive_rate_pred_std
tci_same_scale_STC,high_q75,Prevalence,Prevalence,prevalence,0.5,0.0,0.4056489354689869,0.00073642391027273,0.3333333333333333,0.2886751345948129,0.0,0.0,0.3962340430206754,0.34314914220564596,0.6037659569793247,0.34314914220564596,0.0,0.0
tci_same_scale_STC,high_q90,AR,AR_Logistic,target_lags,0.9993854258121159,,0.998886305395554,,0.9614881850175968,0.037251034335343235,0.6424452133794695,0.5575588905614972,0.9572188166018499,0.038424618000810276,0.4481576692373608,0.507998899385332,0.49093885263551074,0.46969928245264675
tci_same_scale_STC,high_q90,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,0.976660813579163,,0.9393655525282816,,0.5673390020433723,0.19456909717308565,0.2935251798561151,0.5084005248115842,0.6191813328060115,0.18827369147064252,0.4481576692373608,0.507998899385332,0.45708259178696203,0.4085291782449067
tci_same_scale_STC,high_q90,ARX,ARX_Logistic,arx_external_plus_target_lags,0.8841673983026046,,0.7948369719042323,,0.7283985181360545,0.07198629948373332,0.5057731278571093,0.4391354963881981,0.7243051435853493,0.06631698354846281,0.4481576692373608,0.507998899385332,0.45478654450376815,0.19453491777018847
tci_same_scale_STC,high_q90,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.9960784313725489,,0.9948437262593419,,0.7750642673521851,0.2537413101836306,0.30140845070422534,0.5220547504503377,0.8269065981148244,0.1722428984987453,0.4481576692373608,0.507998899385332,0.2750642673521851,0.4764252864006938
tci_same_scale_STC,high_q90,Exog,Exog_ExtraTreesClassifier,external_only,0.8094234708808897,,0.7171339121936119,,0.31396963504932657,0.20300814263512323,0.17080943275971958,0.29585061595185413,0.36581196581196584,0.279656809121239,0.4481576692373608,0.507998899385332,0.41567903675872825,0.4554758102674387
tci_same_scale_STC,high_q90,Exog,Exog_Logistic,external_only,0.8729880011706175,,0.7785766867440107,,0.4819286424874469,0.26908614303257267,0.4151911565737169,0.37296401402002166,0.47960582690659814,0.2650841025819152,0.4481576692373608,0.507998899385332,0.4955441302485004,0.18121412011032492
tci_same_scale_STC,high_q90,Exog,Exog_RandomForestClassifier,external_only,0.7666812993854258,,0.7747940617645978,,0.4723353767055567,0.17553040746932486,0.25826771653543307,0.4473328069941668,0.5241777074681959,0.20778931968900363,0.4481576692373608,0.507998899385332,0.44925845362863354,0.3912759438390586
tci_same_scale_STC,high_q90,Prevalence,Prevalence,prevalence,0.5,,0.3444730077120823,,0.5,0.5,0.0,0.0,0.5518423307626392,0.507998899385332,0.4481576692373608,0.507998899385332,0.0,0.0
tci_within_gold,high_q75,AR,AR_Logistic,target_lags,0.9998804954953305,4.442904538414187e-05,0.999820508757646,8.505312767303148e-05,0.9692805835477767,0.025624224712946557,0.9608058353718678,0.026410205291798133,0.964922110166326,0.027158042579824713,0.4083514600224112,0.039399560588756155,0.44342934985608506,0.06534973339769776
