feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,target_type,test_end,test_start,test_std,train_end,train_start
mean_baseline,1,1.024096050435982,Mean,Mean,386,1416,-0.3138078260310999,1.402003175323493,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
target_lags,1,0.17371443145224655,AR_Ridge,AR,386,1416,0.9416812008670971,0.295384267998739,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
external_only,1,2.7621905774578344,Exog_Ridge,Exog,386,1416,-4.715595064125771,2.9242453045528864,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
arx_external_plus_target_lags,1,0.8231611846831728,ARX_Ridge,ARX,386,1416,0.3680581631742488,0.9723477846632143,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
external_only,1,2.1365627910803537,Exog_ElasticNet,Exog,386,1416,-2.5712089549119206,2.3114830117873373,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
arx_external_plus_target_lags,1,0.23435114621302877,ARX_ElasticNet,ARX,386,1416,0.9011469970342295,0.38457230778182444,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
external_only,1,0.8992552751682609,Exog_RandomForest,Exog,386,1416,-0.10917936549070073,1.2882019902356248,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
arx_external_plus_target_lags,1,0.7850115850164461,ARX_RandomForest,ARX,386,1416,0.048166451242085184,1.1933382987844965,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
external_only,1,0.883253728008389,Exog_ExtraTrees,Exog,386,1416,-0.1006820128788517,1.2832580865179102,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
arx_external_plus_target_lags,1,0.8380551157123959,ARX_ExtraTrees,ARX,386,1416,-0.029841342535493753,1.2412756506498657,tci_same_scale_STC,delta20,2022-03-28,2020-03-19,1.223159450008622,2020-03-18,2013-05-06
mean_baseline,2,0.41645312515598,Mean,Mean,386,1802,-0.005737830457163806,0.5833033399116554,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
target_lags,2,0.09615809215941443,AR_Ridge,AR,386,1802,0.9411636949694799,0.1410830258179188,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
external_only,2,1.0841120981311076,Exog_Ridge,Exog,386,1802,-4.071735252864457,1.3098765206761611,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
arx_external_plus_target_lags,2,0.2546405389269908,ARX_Ridge,ARX,386,1802,0.6856031381756268,0.32613031597778286,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
external_only,2,0.9740491589303973,Exog_ElasticNet,Exog,386,1802,-2.787592535681317,1.1319668172272666,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
arx_external_plus_target_lags,2,0.13561973995095758,ARX_ElasticNet,ARX,386,1802,0.9017838581840412,0.1822818824593033,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
external_only,2,0.4300088516140671,Exog_RandomForest,Exog,386,1802,-0.04510281758162993,0.5946091381621819,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
arx_external_plus_target_lags,2,0.32836309572603145,ARX_RandomForest,ARX,386,1802,0.34984042172217067,0.4689883476958395,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
external_only,2,0.4624887649894347,Exog_ExtraTrees,Exog,386,1802,-0.05481849479825063,0.5973666018461626,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
arx_external_plus_target_lags,2,0.4320082248367629,ARX_ExtraTrees,ARX,386,1802,0.09660394473795553,0.5528294429771556,tci_same_scale_STC,delta20,2024-03-18,2022-03-29,0.5816370592848461,2022-03-28,2013-05-06
mean_baseline,3,1.0700013189637012,Mean,Mean,387,2188,-0.09201502958182273,1.8422501255441859,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
target_lags,3,0.22858123845786793,AR_Ridge,AR,387,2188,0.9126367619845858,0.5210730933572761,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
external_only,3,1.5350339104807345,Exog_Ridge,Exog,387,2188,-1.3185477274164672,2.6843695705502375,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
arx_external_plus_target_lags,3,0.3130734085449364,ARX_Ridge,ARX,387,2188,0.8755914879169528,0.6218123378297911,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
external_only,3,1.375026929548207,Exog_ElasticNet,Exog,387,2188,-0.8647203881228338,2.4073605900197568,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
arx_external_plus_target_lags,3,0.25150572883378947,ARX_ElasticNet,ARX,387,2188,0.9068325162699892,0.5381043093463564,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
external_only,3,1.0458058086463096,Exog_RandomForest,Exog,387,2188,-0.07859276838481333,1.8308933152475633,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
arx_external_plus_target_lags,3,0.881048569099965,ARX_RandomForest,ARX,387,2188,0.09767793561912697,1.6746153801600967,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
external_only,3,1.0266269210144732,Exog_ExtraTrees,Exog,387,2188,-0.07940433292250226,1.8315819943900788,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
arx_external_plus_target_lags,3,1.0016731921353528,ARX_ExtraTrees,ARX,387,2188,-0.018211037641679972,1.7789067672327006,tci_same_scale_STC,delta20,2026-03-31,2024-03-19,1.762926828389993,2024-03-18,2013-05-06
target_lags,1,0.24347643317850345,AR_Ridge,AR,389,1427,0.9885056719396433,0.36911424543363786,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
external_only,1,0.45480137835193574,Exog_Ridge,Exog,389,1427,-1.7378952822280018,0.5611710544260157,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.40290894306999603,ARX_Ridge,ARX,389,1427,-1.4337930537999317,0.5290889222917858,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
external_only,1,0.25424940194471557,Exog_ElasticNet,Exog,389,1427,-0.6580473917920437,0.4367021347637991,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
