date,cftc_gold_oi,cftc_gold_oi_change_ratio,cftc_gold_managed_money_net_ratio,cftc_gold_producer_merchant_net_ratio,cftc_gold_swap_net_ratio,cftc_gold_other_reportable_net_ratio,cftc_gold_nonreportable_net_ratio,cftc_palladium_oi,cftc_palladium_oi_change_ratio,cftc_palladium_managed_money_net_ratio,cftc_palladium_producer_merchant_net_ratio,cftc_palladium_swap_net_ratio,cftc_palladium_other_reportable_net_ratio,cftc_palladium_nonreportable_net_ratio,cftc_platinum_oi,cftc_platinum_oi_change_ratio,cftc_platinum_managed_money_net_ratio,cftc_platinum_producer_merchant_net_ratio,cftc_platinum_swap_net_ratio,cftc_platinum_other_reportable_net_ratio,cftc_platinum_nonreportable_net_ratio,cftc_silver_oi,cftc_silver_oi_change_ratio,cftc_silver_managed_money_net_ratio,cftc_silver_producer_merchant_net_ratio,cftc_silver_swap_net_ratio,cftc_silver_other_reportable_net_ratio,cftc_silver_nonreportable_net_ratio
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-03,427991.0,0.0039510176615863415,0.22691832304884915,-0.3166001154229879,-0.12420120983852465,0.1200959833267522,0.09378701888591115,28532.0,0.07735174540866395,0.6255432496845647,-0.5805060984158138,-0.1689331277162484,0.05937193326790972,0.06452404317958783,59593.0,-0.04821036027721377,0.4613629117513802,-0.5072072223247697,-0.1744500192975685,0.14367459265349958,0.07661973721745842,141489.0,0.005215953183639718,0.1592986027182325,-0.2861635886888733,-0.034257080055693376,0.04698598477620168,0.11413608125013251
2013-01-04,427991.0,0.0039510176615863415,0.22691832304884915,-0.3166001154229879,-0.12420120983852465,0.1200959833267522,0.09378701888591115,28532.0,0.07735174540866395,0.6255432496845647,-0.5805060984158138,-0.1689331277162484,0.05937193326790972,0.06452404317958783,59593.0,-0.04821036027721377,0.4613629117513802,-0.5072072223247697,-0.1744500192975685,0.14367459265349958,0.07661973721745842,141489.0,0.005215953183639718,0.1592986027182325,-0.2861635886888733,-0.034257080055693376,0.04698598477620168,0.11413608125013251
2013-01-07,427991.0,0.0039510176615863415,0.22691832304884915,-0.3166001154229879,-0.12420120983852465,0.1200959833267522,0.09378701888591115,28532.0,0.07735174540866395,0.6255432496845647,-0.5805060984158138,-0.1689331277162484,0.05937193326790972,0.06452404317958783,59593.0,-0.04821036027721377,0.4613629117513802,-0.5072072223247697,-0.1744500192975685,0.14367459265349958,0.07661973721745842,141489.0,0.005215953183639718,0.1592986027182325,-0.2861635886888733,-0.034257080055693376,0.04698598477620168,0.11413608125013251
2013-01-08,427991.0,0.0039510176615863415,0.22691832304884915,-0.3166001154229879,-0.12420120983852465,0.1200959833267522,0.09378701888591115,28532.0,0.07735174540866395,0.6255432496845647,-0.5805060984158138,-0.1689331277162484,0.05937193326790972,0.06452404317958783,59593.0,-0.04821036027721377,0.4613629117513802,-0.5072072223247697,-0.1744500192975685,0.14367459265349958,0.07661973721745842,141489.0,0.005215953183639718,0.1592986027182325,-0.2861635886888733,-0.034257080055693376,0.04698598477620168,0.11413608125013251
2013-01-09,427991.0,0.0039510176615863415,0.22691832304884915,-0.3166001154229879,-0.12420120983852465,0.1200959833267522,0.09378701888591115,28532.0,0.07735174540866395,0.6255432496845647,-0.5805060984158138,-0.1689331277162484,0.05937193326790972,0.06452404317958783,59593.0,-0.04821036027721377,0.4613629117513802,-0.5072072223247697,-0.1744500192975685,0.14367459265349958,0.07661973721745842,141489.0,0.005215953183639718,0.1592986027182325,-0.2861635886888733,-0.034257080055693376,0.04698598477620168,0.11413608125013251
2013-01-10,427991.0,0.0039510176615863415,0.22691832304884915,-0.3166001154229879,-0.12420120983852465,0.1200959833267522,0.09378701888591115,28532.0,0.07735174540866395,0.6255432496845647,-0.5805060984158138,-0.1689331277162484,0.05937193326790972,0.06452404317958783,59593.0,-0.04821036027721377,0.4613629117513802,-0.5072072223247697,-0.1744500192975685,0.14367459265349958,0.07661973721745842,141489.0,0.005215953183639718,0.1592986027182325,-0.2861635886888733,-0.034257080055693376,0.04698598477620168,0.11413608125013251
2013-01-11,441304.0,0.03016741293983286,0.19793385058825663,-0.3070853651904356,-0.09733426390877943,0.1256707394449178,0.08081503906604064,27462.0,-0.038962930595004004,0.5518898842036268,-0.5674386424878013,-0.11171801034156288,0.07275507974655888,0.0545116888791785,62313.0,0.04365060260298814,0.4597596007253703,-0.49718357325116747,-0.17087927077816828,0.14802689647425096,0.06027634682971451,137542.0,-0.02869668901135653,0.15190269154149277,-0.28397144145061143,-0.016046007764900904,0.05235491704352125,0.09575984063049832
2013-01-14,441304.0,0.03016741293983286,0.19793385058825663,-0.3070853651904356,-0.09733426390877943,0.1256707394449178,0.08081503906604064,27462.0,-0.038962930595004004,0.5518898842036268,-0.5674386424878013,-0.11171801034156288,0.07275507974655888,0.0545116888791785,62313.0,0.04365060260298814,0.4597596007253703,-0.49718357325116747,-0.17087927077816828,0.14802689647425096,0.06027634682971451,137542.0,-0.02869668901135653,0.15190269154149277,-0.28397144145061143,-0.016046007764900904,0.05235491704352125,0.09575984063049832
2013-01-15,441304.0,0.03016741293983286,0.19793385058825663,-0.3070853651904356,-0.09733426390877943,0.1256707394449178,0.08081503906604064,27462.0,-0.038962930595004004,0.5518898842036268,-0.5674386424878013,-0.11171801034156288,0.07275507974655888,0.0545116888791785,62313.0,0.04365060260298814,0.4597596007253703,-0.49718357325116747,-0.17087927077816828,0.14802689647425096,0.06027634682971451,137542.0,-0.02869668901135653,0.15190269154149277,-0.28397144145061143,-0.016046007764900904,0.05235491704352125,0.09575984063049832
