feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,test_end,test_start,test_std,train_end,train_start
target_lags,2,0.06181001841678085,AR_Ridge,AR,389,1816,0.9990393141211636,0.08235393089438085,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,5.657029361601886,Exog_Ridge,Exog,389,1816,-5.170739882038792,6.600278331799087,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.2811581883578943,ARX_Ridge,ARX,389,1816,0.9814542212026683,0.36183966098900466,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,4.6441764036314765,Exog_ElasticNet,Exog,389,1816,-3.2870312043065804,5.50138390370618,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.10161055179673807,ARX_ElasticNet,ARX,389,1816,0.9975474433953457,0.13158401987795418,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,3.8156494576420634,Exog_RandomForest,Exog,389,1816,-2.063002628367145,4.650153776252772,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,2.582451553364154,ARX_RandomForest,ARX,389,1816,-0.5234075272552097,3.2794550203366595,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,3.107544722273898,Exog_ExtraTrees,Exog,389,1816,-0.9413171605702952,3.7020465633361184,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,2.941793861174353,ARX_ExtraTrees,ARX,389,1816,-0.820492437798152,3.5849910000175162,tci_same_scale_MTC,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
mean_baseline,3,4.479722302807426,Mean,Mean,390,2205,-0.7215655540498489,5.69422052784837,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
target_lags,3,0.08980728752135107,AR_Ridge,AR,390,2205,0.9989743282186277,0.1389878074792338,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,5.9387623946228905,Exog_Ridge,Exog,390,2205,-1.331686347784176,6.626856484769695,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
