ar_r2,feature_set,fold,model,model_family,residual_mae,residual_r2,residual_rmse,residual_test_std,synthetic_incremental_r2_vs_ar,synthetic_mae,synthetic_r2,synthetic_rmse,synthetic_test_std,target
0.9885056719396433,residual_mean,1,Residual_Mean,Mean,0.2434764331785053,-0.18453506921412366,0.3691142454336393,0.33914611386480603,0.0,0.24347643317850345,0.9885056719396433,0.36911424543363786,3.442857220776137,tci_same_scale_STC
0.9885056719396433,external_only,1,Residual_Exog_Ridge,Exog,0.45480137835193574,-1.7378952822280018,0.5611710544260157,0.33914611386480603,-0.015073282630739704,0.45480137835193557,0.9734323893089036,0.5611710544260156,3.442857220776137,tci_same_scale_STC
0.9885056719396433,arx_external_plus_target_lags,1,Residual_ARX_Ridge,ARX,0.40290894306999603,-1.4337930537999317,0.5290889222917858,0.33914611386480603,-0.012122377361420078,0.4029089430699958,0.9763832945782233,0.5290889222917854,3.442857220776137,tci_same_scale_STC
0.9885056719396433,external_only,1,Residual_Exog_ElasticNet,Exog,0.25424940194471557,-0.6580473917920437,0.4367021347637991,0.33914611386480603,-0.0045948035797227504,0.2542494019447155,0.9839108683599206,0.436702134763799,3.442857220776137,tci_same_scale_STC
0.9885056719396433,arx_external_plus_target_lags,1,Residual_ARX_ElasticNet,ARX,0.24843291311750168,-0.5668367488917414,0.4245205512888886,0.33914611386480603,-0.003709726320855533,0.24843291311750154,0.9847959456187878,0.4245205512888883,3.442857220776137,tci_same_scale_STC
0.9885056719396433,external_only,1,Residual_Exog_RandomForest,Exog,0.22865594846281972,-0.1389473765926128,0.3619417436979633,0.33914611386480603,0.00044236756523707843,0.22865594846281964,0.9889480395048804,0.36194174369796317,3.442857220776137,tci_same_scale_STC
0.9885056719396433,arx_external_plus_target_lags,1,Residual_ARX_RandomForest,ARX,0.23086975940038848,-0.12480533235145574,0.359687651551337,0.33914611386480603,0.0005795971839935854,0.23086975940038854,0.9890852691236369,0.35968765155133725,3.442857220776137,tci_same_scale_STC
0.9885056719396433,external_only,1,Residual_Exog_ExtraTrees,Exog,0.2239158090228781,-0.09310731171657638,0.3545832731554623,0.33914611386480603,0.0008871840655563235,0.22391580902287808,0.9893928560051997,0.35458327315546206,3.442857220776137,tci_same_scale_STC
0.9885056719396433,arx_external_plus_target_lags,1,Residual_ARX_ExtraTrees,ARX,0.2324885710189187,-0.13459026274875496,0.3612487650078477,0.33914611386480603,0.0004846475257205274,0.2324885710189186,0.9889903194653639,0.3612487650078477,3.442857220776137,tci_same_scale_STC
0.9598737319748682,residual_mean,2,Residual_Mean,Mean,0.09217817503798167,-0.005940283677533298,0.1373763679646051,0.13697014956262524,0.0,0.09217817503798174,0.9598737319748682,0.13737636796460514,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,external_only,2,Residual_Exog_Ridge,Exog,0.23583095551789252,-4.084648905141519,0.30885626493078044,0.13697014956262524,-0.1626968896632276,0.23583095551789257,0.7971768423116407,0.30885626493078044,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,arx_external_plus_target_lags,2,Residual_ARX_Ridge,ARX,0.38367876098712583,-10.66829506665274,0.46787477521893217,0.13697014956262524,-0.42531401987064554,0.38367876098712583,0.5345597121042227,0.46787477521893245,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,external_only,2,Residual_Exog_ElasticNet,Exog,0.11063840643718588,-0.25188948179047377,0.1532529789932642,0.13697014956262524,-0.009810744836628582,0.11063840643718593,0.9500629871382397,0.15325297899326418,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,arx_external_plus_target_lags,2,Residual_ARX_ElasticNet,ARX,0.10667554049719091,-0.2192071774748401,0.15123930931045562,0.13697014956262524,-0.008507070131551941,0.10667554049719091,0.9513666618433163,0.1512393093104555,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,external_only,2,Residual_Exog_RandomForest,Exog,0.0984617307820155,-0.0763602643240604,0.1421034946376407,0.13697014956262524,-0.0028090047327827827,0.09846173078201524,0.9570647272420855,0.14210349463764063,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,arx_external_plus_target_lags,2,Residual_ARX_RandomForest,ARX,0.09426240416375825,-0.009043335727853652,0.13758808917170018,0.13697014956262524,-0.0001237786181620404,0.09426240416375829,0.9597499533567062,0.13758808917170023,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,external_only,2,Residual_Exog_ExtraTrees,Exog,0.09215276684384807,0.01279985353468549,0.136090727454394,0.13697014956262524,0.0007475312210940555,0.09215276684384824,0.9606212631959623,0.13609072745439407,0.6858002596514201,tci_same_scale_STC
0.9598737319748682,arx_external_plus_target_lags,2,Residual_ARX_ExtraTrees,ARX,0.09413637943721924,-0.003162079735398171,0.13718653390863947,0.13697014956262524,0.00011082064991263518,0.09413637943721942,0.9599845526247809,0.13718653390863966,0.6858002596514201,tci_same_scale_STC
0.9851967096059616,residual_mean,3,Residual_Mean,Mean,0.2179018870329125,-0.02190324034378044,0.4855843388842042,0.48035219906715226,0.0,0.21790188703291288,0.9851967096059616,0.4855843388842046,3.9910350515692863,tci_same_scale_STC
0.9851967096059616,external_only,3,Residual_Exog_Ridge,Exog,0.2789883012617012,-0.2556019733670898,0.538252155949127,0.48035219906715226,-0.0033853598590205536,0.27898830126170143,0.9818113497469411,0.5382521559491271,3.9910350515692863,tci_same_scale_STC
