date,gpr,gpr_threat,gpr_act,gpr_broad,gpr_narrow,gpr_raw
1985-01-01,69.69284152715318,73.40471770088732,45.75627388961922,89.72316561062127,69.39892865487245,103.0
1985-02-01,96.56166736777972,104.72976253590318,53.18815494209173,103.40486922674953,102.39002104893056,133.0
1985-03-01,91.31796605400156,86.15207615868647,114.76820281556803,104.32341270193632,96.47862854496512,139.0
1985-04-01,73.08327582442506,71.28521487531609,81.68876580517149,104.15187312106913,77.43627742303768,121.0
1985-05-01,66.79766224994486,65.46099822838806,73.37118779184532,86.80264184852213,69.93656023567158,118.0
1985-06-01,106.09871874190122,87.5670924289198,215.81008080407034,117.16473318209724,106.09882727658137,169.0
1985-07-01,78.57406872620504,59.888805023419025,166.9535665023259,106.49014227407928,82.5717033266636,122.0
1985-08-01,54.793186316332324,48.41498627220949,79.91876588364245,72.81575265444681,57.10056024086322,85.0
1985-09-01,62.733931057975546,64.66078828650893,47.87326846342459,76.66852290962261,64.7395001085571,96.0
1985-10-01,104.87818477010886,79.18613416459596,239.69224030936167,129.7239568320108,112.73009982166826,180.0
1985-11-01,81.78568527926086,82.72809457659358,69.83157205475352,100.07888171172989,85.93487979135546,132.0
1985-12-01,68.66790151885729,57.380310567400784,130.19399583398248,93.85386435016909,66.57009109199299,107.0
1986-01-01,103.32969035027806,96.1441540907445,163.32684361964726,126.18121682378656,105.74574923171159,164.0
1986-02-01,43.44480882616086,38.639084883447346,66.06397786620663,100.85083588275911,43.4020504573339,63.0
1986-03-01,78.20656155363848,75.65718688117373,101.14859399659446,135.7258136970646,79.19693481233165,122.0
1986-04-01,208.87908370450066,146.78046705764666,614.4393691717733,210.91977578689355,219.17857388879054,341.0
1986-05-01,108.56393726574862,93.47340555130344,207.32963012663262,130.66249720651595,108.25624220823009,180.0
1986-06-01,56.4075743869939,50.43480213671552,90.30529567435704,94.09236826942313,57.526059277636,88.0
1986-07-01,43.58627657949805,39.342253565459764,63.16008314661751,81.54744135907693,44.99482494408563,70.0
1986-08-01,60.94669026255216,51.89837066900566,108.64361347889013,95.70189243513734,62.33639003606859,98.0
1986-09-01,78.69984232246125,68.65037176317176,133.41016843054695,106.1425950735156,79.04852355269713,123.0
1986-10-01,78.12436407665965,73.84363577919355,97.48518293979778,93.18097558714068,79.34826533413566,140.0
1986-11-01,71.75281232168246,61.81901070977752,122.3243522527296,106.93569451076814,63.95176062109691,119.0
1986-12-01,59.10691559112622,56.22161798542845,74.41289410043152,92.30178299235,57.16420824345795,94.0
1987-01-01,60.15465828890028,50.77061694297244,113.99685627731992,105.44956990119954,56.46136320925477,113.0
1987-02-01,68.09860693660337,70.26840962549153,58.047327437756955,103.9879141588415,66.69763167303628,119.0
1987-03-01,74.75220751542498,80.95748750390136,41.531935538769375,103.7027437325388,66.87769904164018,142.0
1987-04-01,69.19461226103247,70.7061391511397,55.70481004922129,87.4417262297667,72.15837545782364,133.0
1987-05-01,77.46230755934064,77.76576437479396,71.7968364519843,112.90683746306082,78.40430693000981,152.0
1987-06-01,85.59076601911471,85.47272219262739,84.5645640187913,102.20766350858239,84.21097416222916,154.0
1987-07-01,66.8047080602323,71.871477170071,42.849765770890066,106.4005259276635,67.73371301476493,123.0
1987-08-01,88.92763217732991,96.13805725253542,52.91493070356417,114.23453803961709,90.77141635735178,161.0
1987-09-01,87.40125206780228,95.02112441697102,43.36776322181342,118.78540502038861,79.44404736349897,159.0
1987-10-01,72.32777462124331,78.7817560130148,55.71374617189642,120.10968752467197,65.49877910308952,139.0
1987-11-01,66.42463543503531,59.23531428302952,97.26528328915812,104.17552314549714,60.350350927508956,127.0
1987-12-01,88.3966035075626,90.51230873106489,73.34620926168907,118.9655985572726,92.28263279543303,163.0
1988-01-01,66.90143536644348,63.80534419664663,78.418264795408,118.86861400296532,67.37027572020335,125.0
1988-02-01,61.322091079494335,58.225423358904585,70.33715629712077,117.56455008950326,59.454606983079884,113.0
1988-03-01,66.14982939017582,52.57376778329746,124.25844982203,110.81066752949329,65.74320162108714,129.0
1988-04-01,69.69006175837178,70.20034883593897,63.93208841922154,106.7178523498947,68.00236879982664,129.0
1988-05-01,51.200982840052276,46.67715328977008,70.71907836436586,75.60222463148241,44.464239102213035,102.0
1988-06-01,54.727605605641536,47.80225968084109,85.49910387105292,82.49671288042421,54.31285992117188,101.0
1988-07-01,69.12362602233289,63.28770761441594,99.72061191393364,86.30379616744833,65.09640714678564,125.0
1988-08-01,54.583915730864874,53.35930611242694,64.59552616189751,89.95369300589343,47.07773437443655,100.0
1988-09-01,46.86292034210734,44.03691217521765,55.924406765741544,63.480486369472864,45.62342851143022,85.0
1988-10-01,44.37229541967733,49.20792642677967,20.353070743217177,77.70874472924721,45.10179789703654,86.0
1988-11-01,43.396840229914325,35.962572107546556,74.5594547034543,80.28537122459343,42.56106573508786,82.0
1988-12-01,78.4186849693431,63.82905001146098,146.28885743201442,102.11158531364984,76.27040805417752,145.0
1989-01-01,57.98714950337216,58.340499927545686,66.1107614517121,72.24871380455473,55.47446830007016,173.0
1989-02-01,50.35465385884142,52.792693527379996,50.312855755740394,88.0858813688105,52.029501146145854,141.0
